"","Genotype","Sample","Cytokine","Treatment","Concentration","Avg.Cupri.Neg.All","PureFoldChange","log2transform"
"449","XXO",236,"MCP1","Cuprizone",15,12.12785714,1.23682195682592,0.306637836214573
"454","XXT",243,"MCP1","Cuprizone",15,12.12785714,1.23682195682592,0.306637836214573
"455","XXT",246,"MCP1","Cuprizone",11.77,12.12785714,0.970492962122738,-0.0432103441302264
"460","XYO",248,"MCP1","Cuprizone",8.66,12.12785714,0.714058543074164,-0.485885734441945
"461","XYO",249,"MCP1","Cuprizone",11.77,12.12785714,0.970492962122738,-0.0432103441302264
"462","XYO",250,"MCP1","Cuprizone",11.77,12.12785714,0.970492962122738,-0.0432103441302264
"466","XYT",257,"MCP1","Cuprizone",5.75,12.12785714,0.474115083449936,-1.07669080333693
"467","XYT",242,"MCP1","Cuprizone",21.66,12.12785714,1.78597090565663,0.836708578439657
"468","XYT",948,"MCP1","Cuprizone",8.66,12.12785714,0.714058543074164,-0.485885734441945
"472","XXO",247,"MIP1a","Cuprizone",13.94,23.30928571,0.598044923960049,-0.741674233975589
"473","XXO",251,"MIP1a","Cuprizone",39.59,23.30928571,1.69846474458955,0.764231272186085
"474","XXO",235,"MIP1a","Cuprizone",15.53,23.30928571,0.666258082431819,-0.58584696545671
"475","XXO",236,"MIP1a","Cuprizone",24.68,23.30928571,1.05880550382597,0.0824375993054062
"480","XXT",243,"MIP1a","Cuprizone",21.71,23.30928571,0.931388471963605,-0.102545069228867
"481","XXT",246,"MIP1a","Cuprizone",20.19,23.30928571,0.866178408518894,-0.207263884512538
"486","XYO",248,"MIP1a","Cuprizone",23.21,23.30928571,0.995740508257728,-0.00615827249952914
"487","XYO",249,"MIP1a","Cuprizone",23.21,23.30928571,0.995740508257728,-0.00615827249952914
"488","XYO",250,"MIP1a","Cuprizone",18.65,23.30928571,0.800110317923594,-0.321729164701412
"492","XYT",257,"MIP1a","Cuprizone",76.72,23.30928571,3.29139214965674,1.71869792517412
"493","XYT",242,"MIP1a","Cuprizone",23.21,23.30928571,0.995740508257728,-0.00615827249952914
"494","XYT",948,"MIP1a","Cuprizone",20.19,23.30928571,0.866178408518894,-0.207263884512538
"498","XXO",247,"MIP1b","Cuprizone",24.11,14.11,1.70871722182849,0.772913663005262
"499","XXO",251,"MIP1b","Cuprizone",23.37,14.11,1.65627214741318,0.727939746185561
"500","XXO",235,"MIP1b","Cuprizone",10.08,14.11,0.714386959603118,-0.485222349097348
"501","XXO",236,"MIP1b","Cuprizone",4.99,14.11,0.353649893692417,-1.49960626726
"506","XXT",243,"MIP1b","Cuprizone",27.03,14.11,1.91566265060241,0.937843523937431
"507","XXT",246,"MIP1b","Cuprizone",29.16,14.11,2.06661941885188,1.04727273172967
"512","XYO",248,"MIP1b","Cuprizone",13.28,14.11,0.941176470588235,-0.0874628412503394
"513","XYO",249,"MIP1b","Cuprizone",19.58,14.11,1.38766832034018,0.472662777006431
"514","XYO",250,"MIP1b","Cuprizone",12.48,14.11,0.884479092841956,-0.177100053735016
"518","XYT",257,"MIP1b","Cuprizone",11.68,14.11,0.827781715095677,-0.272677713717247
"519","XYT",242,"MIP1b","Cuprizone",27.03,14.11,1.91566265060241,0.937843523937431
"520","XYT",948,"MIP1b","Cuprizone",18.81,14.11,1.33309709425939,0.414781860925931
"524","XXO",247,"MIG","Cuprizone",8.98,6.096428571,1.47299355604965,0.55875111898507
"525","XXO",251,"MIG","Cuprizone",14.65,6.096428571,2.40304628019236,1.26486443355353
"526","XXO",235,"MIG","Cuprizone",3.92,6.096428571,0.642999414222121,-0.637110671640868
"527","XXO",236,"MIG","Cuprizone",5.07,6.096428571,0.831634446455651,-0.265978578752736
"532","XXT",243,"MIG","Cuprizone",11.23,6.096428571,1.84206209737613,0.881321696644525
"533","XXT",246,"MIG","Cuprizone",8.32,6.096428571,1.36473345059389,0.448619202385016
"538","XYO",248,"MIG","Cuprizone",3.92,6.096428571,0.642999414222121,-0.637110671640868
"539","XYO",249,"MIG","Cuprizone",12.54,6.096428571,2.05694200365954,1.04050111704596
"540","XYO",250,"MIG","Cuprizone",11.42,6.096428571,1.87322788531036,0.905526419606766
"544","XYT",257,"MIG","Cuprizone",5.07,6.096428571,0.831634446455651,-0.265978578752736
"545","XYT",242,"MIG","Cuprizone",6.16,6.096428571,1.01042765092048,0.0149660249388247
"546","XYT",948,"MIG","Cuprizone",3.92,6.096428571,0.642999414222121,-0.637110671640868
"550","XXO",247,"VEGF","Cuprizone",28.19,9.374285714,3.00716245056407,1.58840280615358
"551","XXO",251,"VEGF","Cuprizone",6.7,9.374285714,0.714721121631049,-0.48454767107171
"552","XXO",235,"VEGF","Cuprizone",11.58,9.374285714,1.23529411768471,0.304854581572392
"553","XXO",236,"VEGF","Cuprizone",8.01,9.374285714,0.85446510212906,-0.226906524008135
"558","XXT",243,"VEGF","Cuprizone",12.43,9.374285714,1.32596769281701,0.40704562463564
"559","XXT",246,"VEGF","Cuprizone",10.87,9.374285714,1.15955501375067,0.213571268610464
"564","XYO",248,"VEGF","Cuprizone",5.86,9.374285714,0.625114294441485,-0.677808101994597
"565","XYO",249,"VEGF","Cuprizone",6.61,9.374285714,0.705120390146453,-0.504058494909153
"566","XYO",250,"VEGF","Cuprizone",5.31,9.374285714,0.566443157591175,-0.819996905612691
"570","XYT",257,"VEGF","Cuprizone",11.87,9.374285714,1.26622980802396,0.340539263225062
"571","XYT",242,"VEGF","Cuprizone",5.77,9.374285714,0.615513562956888,-0.700137447771362
"572","XYT",948,"VEGF","Cuprizone",7.91,9.374285714,0.843797622701731,-0.245031071944053
