Genotype,Sample,Cytokine,Treatment,Concentration,Avg.Cupri.Neg.All
XYT,242,IL15,Cuprizone,64.24,58.335
XYT,948,IL15,Cuprizone,45.09,58.335
XXO,229,IL17a,Ctrl,6.03,5.667142857
XXO,231,IL17a,Ctrl,3.64,5.667142857
XXO,233,IL17a,Ctrl,8.05,5.667142857
XXO,247,IL17a,Cuprizone,3.64,5.667142857
XXO,251,IL17a,Cuprizone,4.63,5.667142857
XXO,235,IL17a,Cuprizone,5.34,5.667142857
XXO,236,IL17a,Cuprizone,3.64,5.667142857
XXT,240,IL17a,Ctrl,7.89,5.667142857
XXT,241,IL17a,Ctrl,4.99,5.667142857
XXT,252,IL17a,Ctrl,3.64,5.667142857
XXT,254,IL17a,Ctrl,7.72,5.667142857
XXT,243,IL17a,Cuprizone,6.03,5.667142857
XXT,246,IL17a,Cuprizone,4.63,5.667142857
XYO,238,IL17a,Ctrl,6.2,5.667142857
XYO,230,IL17a,Ctrl,5.16,5.667142857
XYO,234,IL17a,Ctrl,3.64,5.667142857
XYO,237,IL17a,Ctrl,3.64,5.667142857
XYO,248,IL17a,Cuprizone,3.64,5.667142857
XYO,249,IL17a,Cuprizone,5.51,5.667142857
XYO,250,IL17a,Cuprizone,3.64,5.667142857
XYT,253,IL17a,Ctrl,5.16,5.667142857
XYT,258,IL17a,Ctrl,5.69,5.667142857
XYT,887,IL17a,Ctrl,7.89,5.667142857
XYT,257,IL17a,Cuprizone,4.63,5.667142857
XYT,242,IL17a,Cuprizone,5.69,5.667142857
XYT,948,IL17a,Cuprizone,5.69,5.667142857
XXO,229,IP10,Ctrl,45.68,44.34428571
XXO,231,IP10,Ctrl,9.57,44.34428571
XXO,233,IP10,Ctrl,28.47,44.34428571
XXO,247,IP10,Cuprizone,70.61,44.34428571
XXO,251,IP10,Cuprizone,134.22,44.34428571
XXO,235,IP10,Cuprizone,25.32,44.34428571
XXO,236,IP10,Cuprizone,24.35,44.34428571
XXT,240,IP10,Ctrl,31.29,44.34428571
XXT,241,IP10,Ctrl,29.36,44.34428571
XXT,252,IP10,Ctrl,29.48,44.34428571
XXT,254,IP10,Ctrl,26.78,44.34428571
XXT,243,IP10,Cuprizone,243.81,44.34428571
XXT,246,IP10,Cuprizone,142,44.34428571
XYO,238,IP10,Ctrl,119.2,44.34428571
XYO,230,IP10,Ctrl,30.44,44.34428571
XYO,234,IP10,Ctrl,138.36,44.34428571
XYO,237,IP10,Ctrl,26.57,44.34428571
XYO,248,IP10,Cuprizone,29.2,44.34428571
XYO,249,IP10,Cuprizone,107.75,44.34428571
XYO,250,IP10,Cuprizone,92.48,44.34428571
XYT,253,IP10,Ctrl,19.53,44.34428571
XYT,258,IP10,Ctrl,28.31,44.34428571
XYT,887,IP10,Ctrl,57.78,44.34428571
XYT,257,IP10,Cuprizone,66.42,44.34428571
XYT,242,IP10,Cuprizone,155.82,44.34428571
XYT,948,IP10,Cuprizone,76.94,44.34428571
XXO,229,KC,Ctrl,17.88,12.715
XXO,231,KC,Ctrl,3.24,12.715
XXO,233,KC,Ctrl,11.4,12.715
XXO,247,KC,Cuprizone,12.56,12.715
XXO,251,KC,Cuprizone,12.56,12.715
XXO,235,KC,Cuprizone,9.7,12.715
XXO,236,KC,Cuprizone,5.97,12.715
XXT,240,KC,Ctrl,16.09,12.715
XXT,241,KC,Ctrl,11.4,12.715
XXT,252,KC,Ctrl,10.83,12.715
XXT,254,KC,Ctrl,11.98,12.715
XXT,243,KC,Cuprizone,23.92,12.715
XXT,246,KC,Cuprizone,14.9,12.715
XYO,238,KC,Ctrl,16.09,12.715
XYO,230,KC,Ctrl,10.83,12.715
XYO,234,KC,Ctrl,15.49,12.715
XYO,237,KC,Ctrl,8.6,12.715
XYO,248,KC,Cuprizone,7.52,12.715
XYO,249,KC,Cuprizone,13.14,12.715
XYO,250,KC,Cuprizone,9.7,12.715
XYT,253,KC,Ctrl,13.14,12.715
XYT,258,KC,Ctrl,12.56,12.715
XYT,887,KC,Ctrl,18.48,12.715
XYT,257,KC,Cuprizone,16.68,12.715
XYT,242,KC,Cuprizone,11.98,12.715
XYT,948,KC,Cuprizone,13.14,12.715
XXO,229,MCP1,Ctrl,18.31,12.12785714
XXO,231,MCP1,Ctrl,1.73,12.12785714
XXO,233,MCP1,Ctrl,11.77,12.12785714
XXO,247,MCP1,Cuprizone,18.31,12.12785714
XXO,251,MCP1,Cuprizone,15,12.12785714
XXO,235,MCP1,Cuprizone,5.75,12.12785714
XXO,236,MCP1,Cuprizone,15,12.12785714
XXT,240,MCP1,Ctrl,25.02,12.12785714
XXT,241,MCP1,Ctrl,5.75,12.12785714
XXT,252,MCP1,Ctrl,18.31,12.12785714
XXT,254,MCP1,Ctrl,15,12.12785714
XXT,243,MCP1,Cuprizone,15,12.12785714
XXT,246,MCP1,Cuprizone,11.77,12.12785714
XYO,238,MCP1,Ctrl,11.77,12.12785714
XYO,230,MCP1,Ctrl,8.66,12.12785714
XYO,234,MCP1,Ctrl,5.75,12.12785714
XYO,237,MCP1,Ctrl,5.75,12.12785714
XYO,248,MCP1,Cuprizone,8.66,12.12785714
XYO,249,MCP1,Cuprizone,11.77,12.12785714
XYO,250,MCP1,Cuprizone,11.77,12.12785714
XYT,253,MCP1,Ctrl,8.66,12.12785714
XYT,258,MCP1,Ctrl,15,12.12785714
XYT,887,MCP1,Ctrl,18.31,12.12785714
XYT,257,MCP1,Cuprizone,5.75,12.12785714
XYT,242,MCP1,Cuprizone,21.66,12.12785714
XYT,948,MCP1,Cuprizone,8.66,12.12785714
XXO,229,MIP1a,Ctrl,26.14,23.30928571
XXO,231,MIP1a,Ctrl,16.31,23.30928571
XXO,233,MIP1a,Ctrl,21.71,23.30928571
XXO,247,MIP1a,Cuprizone,13.94,23.30928571
XXO,251,MIP1a,Cuprizone,39.59,23.30928571
XXO,235,MIP1a,Cuprizone,15.53,23.30928571
XXO,236,MIP1a,Cuprizone,24.68,23.30928571
XXT,240,MIP1a,Ctrl,39.59,23.30928571
XXT,241,MIP1a,Ctrl,17.1,23.30928571
XXT,252,MIP1a,Ctrl,20.19,23.30928571
XXT,254,MIP1a,Ctrl,26.14,23.30928571
XXT,243,MIP1a,Cuprizone,21.71,23.30928571
XXT,246,MIP1a,Cuprizone,20.19,23.30928571
XYO,238,MIP1a,Ctrl,31.76,23.30928571
XYO,230,MIP1a,Ctrl,21.71,23.30928571
XYO,234,MIP1a,Ctrl,17.1,23.30928571
XYO,237,MIP1a,Ctrl,17.1,23.30928571
XYO,248,MIP1a,Cuprizone,23.21,23.30928571
XYO,249,MIP1a,Cuprizone,23.21,23.30928571
XYO,250,MIP1a,Cuprizone,18.65,23.30928571
XYT,253,MIP1a,Ctrl,15.53,23.30928571
XYT,258,MIP1a,Ctrl,20.19,23.30928571
XYT,887,MIP1a,Ctrl,35.76,23.30928571
XYT,257,MIP1a,Cuprizone,76.72,23.30928571
XYT,242,MIP1a,Cuprizone,23.21,23.30928571
XYT,948,MIP1a,Cuprizone,20.19,23.30928571
XXO,229,MIP1b,Ctrl,13.28,14.11
XXO,231,MIP1b,Ctrl,3.11,14.11
XXO,233,MIP1b,Ctrl,17.25,14.11
XXO,247,MIP1b,Cuprizone,24.11,14.11
XXO,251,MIP1b,Cuprizone,23.37,14.11
XXO,235,MIP1b,Cuprizone,10.08,14.11
XXO,236,MIP1b,Cuprizone,4.99,14.11
XXT,240,MIP1b,Ctrl,18.81,14.11
XXT,241,MIP1b,Ctrl,9.28,14.11
XXT,252,MIP1b,Ctrl,10.88,14.11
XXT,254,MIP1b,Ctrl,19.58,14.11
XXT,243,MIP1b,Cuprizone,27.03,14.11
XXT,246,MIP1b,Cuprizone,29.16,14.11
XYO,238,MIP1b,Ctrl,21.11,14.11
XYO,230,MIP1b,Ctrl,11.68,14.11
XYO,234,MIP1b,Ctrl,17.25,14.11
XYO,237,MIP1b,Ctrl,9.28,14.11
XYO,248,MIP1b,Cuprizone,13.28,14.11
XYO,249,MIP1b,Cuprizone,19.58,14.11
XYO,250,MIP1b,Cuprizone,12.48,14.11
XYT,253,MIP1b,Ctrl,10.88,14.11
XYT,258,MIP1b,Ctrl,13.28,14.11
XYT,887,MIP1b,Ctrl,21.87,14.11
XYT,257,MIP1b,Cuprizone,11.68,14.11
