,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Ppp1cb,2146.104963,0.003890494,0.041608679,0.093624398,0.925407528,0.980312785
Kidins220,2546.493655,0.003932506,0.037987764,0.103849404,0.91728886,0.977645646
Vapa,2231.657445,0.003933462,0.040014457,0.098058825,0.921885583,0.979271722
Tgfbr1,1976.599187,0.003957327,0.049879228,0.079911439,0.936307692,0.984367913
Gm10704,25.52231452,0.00402783,0.206999115,0.017976796,0.985657364,0.997371543
Card19,1271.832738,0.004061526,0.056317955,0.071924907,0.942661668,0.985609072
Clec12a,841.8588697,0.004065291,0.081335805,0.054176635,0.956794436,0.988910306
Haus3,175.8735975,0.004079927,0.125898315,0.033571039,0.973219217,0.993673564
Acot8,227.4749689,0.004129229,0.101695589,0.040504958,0.967690554,0.990986859
Wipi2,894.1713177,0.004130988,0.064307302,0.064426249,0.94863083,0.986732687
Mybpc3,33.28340167,0.004152243,0.196019978,0.017875661,0.985738045,0.997371543
Dclre1b,266.9433465,0.004262516,0.099271432,0.042528714,0.966077222,0.990484355
Cspg5,41.97477773,0.004321076,0.194984513,0.024155272,0.980728756,0.996098806
Pcdh15,4.243800338,0.004324795,0.155874805,0.031772666,0.974653345,NA
Nolc1,1453.710089,0.004343605,0.046822768,0.092407054,0.926374635,0.980312785
Nudt21,513.3957992,0.004350786,0.079146,0.055516013,0.955727373,0.988910306
Vps41,1716.806655,0.004380525,0.044110349,0.099265635,0.920927363,0.978816787
Mageh1,13.27406756,0.004395783,0.21280481,0.030612055,0.975578928,0.99418932
Hnrnpa1,4737.652103,0.004416684,0.033143969,0.133213982,0.894024153,0.971885266
Sltm,1041.636761,0.004419475,0.054401,0.081181468,0.935297637,0.984112754
Ccar1,1367.608957,0.004445795,0.056397951,0.078873271,0.937133424,0.984778658
Gm13710,4.964192921,0.004461188,0.175249405,0.026885427,0.978551117,NA
Aasdhppt,242.8728545,0.004465558,0.102321845,0.043565831,0.965250489,0.990484355
Cap1,15832.96567,0.004481843,0.025383345,0.176602512,0.85982062,0.961664039
Gm43335,1.23495701,0.004497809,0.103800573,0.038712682,0.969119462,NA
Gm11839,1.923799149,0.004551359,0.124207611,0.034253277,0.972675183,NA
Bub3,1199.686752,0.004562265,0.046985375,0.09709786,0.92264868,0.979483981
Ehbp1,252.8441126,0.004574285,0.103300643,0.043387556,0.965392597,0.990484355
Med8,632.7852837,0.004611384,0.069002661,0.066782944,0.946754502,0.986659504
Pdia5,94.33775131,0.004705194,0.147892808,0.028834861,0.976996298,0.994692091
