X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Unique_KOMyevsWTMye_F
Nectin1,19.6931783,-0.459874207,0.213734526,-2.315952378,0.020560869,0.170849478,Nectin1
Spns2,13.35265353,-0.465017625,0.21140343,-2.444908217,0.014488901,0.133611933,Spns2
Tnfsf8,52.8440271,-0.466457372,0.187961915,-2.4780914,0.01320873,0.125790118,Tnfsf8
Gm6087,18.99719419,-0.469514982,0.212968936,-2.374352494,0.017579759,0.153576773,Gm6087
1700047I17Rik2,84.80223311,-0.469545343,0.194573727,-2.624247373,0.008684069,0.094732802,1700047I17Rik2
Tgfbr3l,10.43742125,-0.471796839,0.209922415,-2.204822717,0.027466537,NA,Tgfbr3l
Rps4x-ps,10.27466615,-0.471807952,0.211940869,-2.142527166,0.032151085,NA,Rps4x-ps
H2-DMa,471.9633659,-0.475646217,0.094415017,-5.051447567,4.38E-07,2.38E-05,H2-DMa
Gm47218,9.075660812,-0.476486698,0.205668832,-2.099606261,0.035763492,NA,Gm47218
Rad51ap1,38.04962678,-0.47747326,0.204552041,-2.57163967,0.010121818,0.105434261,Rad51ap1
Gm22009,39.86322348,-0.478368628,0.199280585,-2.392619771,0.016728567,0.147517594,Gm22009
B130055M24Rik,18.37279002,-0.480341508,0.212781848,-2.192719934,0.028327564,0.213093678,B130055M24Rik
Tspan2,29.6653637,-0.480763066,0.209866949,-2.337085998,0.019434713,0.164729934,Tspan2
Zfp551,17.56814287,-0.48258606,0.212756284,-2.211134227,0.027026543,0.206384513,Zfp551
Ugt8a,36.36746338,-0.484247619,0.20790433,-2.509012205,0.01210693,0.117779668,Ugt8a
Rhox5,8.081443101,-0.48466914,0.201461278,-2.459310361,0.013920422,NA,Rhox5
Gm5150,29.65127984,-0.488030356,0.206880523,-2.432575637,0.01499186,0.135953863,Gm5150
Padi2,163.6527642,-0.489901353,0.122127499,-4.016047881,5.92E-05,0.001782814,Padi2
Klk6,11.85937878,-0.491289585,0.206346147,-2.687072856,0.007208123,0.082565771,Klk6
Arl4d,20.61012497,-0.494782507,0.212877619,-2.320409297,0.020318746,0.169590352,Arl4d
St18,53.81839089,-0.494947402,0.175145575,-2.819498368,0.004809878,0.06179278,St18
Apod,39.94592739,-0.500042211,0.20893402,-2.403199442,0.016252321,0.144288897,Apod
Rarres1,25.83944295,-0.501195671,0.206064542,-2.373066782,0.017641074,0.153804813,Rarres1
Pgam2,27.66437984,-0.503198167,0.211713292,-2.676965555,0.007429227,0.08450746,Pgam2
2210408F21Rik,104.7727854,-0.503512378,0.152139015,-3.337210663,0.000846238,0.016235871,2210408F21Rik
