X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Unique_KOMyevsWTMye_M
Plekha6,17.18843919,-0.667542542,0.213491269,-3.214709549,0.001305766,0.010815467,Plekha6
Gm28913,22.90960783,-0.666908996,0.210879932,-3.182996529,0.001457594,0.011877916,Gm28913
C1s1,11.04924182,-0.665892511,0.208803009,-2.871719799,0.004082448,0.027641751,C1s1
Stat1,781.8436008,-0.665589098,0.131419992,-5.048667572,4.45E-07,1.02E-05,Stat1
Scrn1,54.57033392,-0.664887742,0.196804546,-3.432217534,0.000598667,0.005652133,Scrn1
Slco3a1,12.55319889,-0.663298058,0.211074071,-3.123382572,0.001787852,0.014044299,Slco3a1
Slc1a2,77.09007857,-0.66325159,0.170641231,-3.834366777,0.000125888,0.001477241,Slc1a2
Tgfb1i1,13.29107986,-0.662361153,0.210968097,-3.190645735,0.001419552,0.011614846,Tgfb1i1
Gm18537,8.919326334,-0.661419816,0.207588334,-2.911169627,0.003600785,0.024881654,Gm18537
Ncam1,73.97401976,-0.660233433,0.184559973,-3.587514592,0.000333845,0.003435325,Ncam1
Gm6093,10.59828884,-0.65849997,0.20237054,-3.182701461,0.00145908,0.011884024,Gm6093
H2-Q4,390.3718109,-0.658498459,0.114146621,-5.764291692,8.20E-09,2.76E-07,H2-Q4
Vegfa,301.3955702,-0.658147169,0.093288046,-7.037562459,1.96E-12,1.10E-10,Vegfa
Mcc,6.478918914,-0.65783833,0.198161227,-3.021169572,0.002518003,0.018594041,Mcc
Heg1,34.32711801,-0.656421818,0.213808435,-3.287999609,0.00100902,0.008734192,Heg1
Dscam,27.53451025,-0.655693375,0.209079303,-3.197277153,0.001387316,0.011374155,Dscam
Gm48102,15.65210591,-0.654739587,0.211120363,-3.020434576,0.002524122,0.018630702,Gm48102
Coro2b,10.72662523,-0.654715379,0.208812653,-3.200075308,0.001373917,0.011287244,Coro2b
F830016B08Rik,13.34701391,-0.654486258,0.210190623,-3.541295691,0.000398167,0.004019678,F830016B08Rik
Gprc5c,34.05498863,-0.65414847,0.213242132,-3.2795451,0.001039746,0.008956914,Gprc5c
Cachd1,36.19652379,-0.654127099,0.20465504,-3.708010666,0.000208894,0.002302256,Cachd1
Parp12,1631.409765,-0.653381656,0.139767354,-4.662969127,3.12E-06,5.70E-05,Parp12
Clip4,12.61282576,-0.653174686,0.20305563,-3.41897852,0.000628567,0.005889621,Clip4
Atoh8,24.64589582,-0.65215648,0.21035224,-3.064176578,0.0021827,0.016557532,Atoh8
Ltbp1,14.13807783,-0.650830477,0.213049839,-3.109617202,0.001873299,0.014608839,Ltbp1
Dpys,13.75372532,-0.650337275,0.21235383,-3.492411452,0.00047868,0.004692288,Dpys
Adcy5,30.28245949,-0.648889784,0.210463772,-3.150590034,0.00162941,0.013021563,Adcy5
Tmem176b,736.3522583,-0.648836907,0.118221956,-5.525385993,3.29E-08,9.72E-07,Tmem176b
Sp110,473.3491917,-0.648413174,0.156105867,-4.163886015,3.13E-05,0.00044015,Sp110
Pde4b,139.9033291,-0.648372279,0.134814873,-4.803143965,1.56E-06,3.06E-05,Pde4b
Gpat2,9.415184551,-0.647469735,0.203789546,-3.242946189,0.001183006,0.009993609,Gpat2
Trim9,26.96809552,-0.647308004,0.207956408,-3.024860715,0.002487477,0.018402308,Trim9
Cdr2l,16.66305596,-0.646845594,0.213695579,-3.087495346,0.002018509,0.015516269,Cdr2l
Slc6a1,46.657874,-0.646558792,0.196544672,-3.298632838,0.000971569,0.008482828,Slc6a1
Ltbp4,12.55607838,-0.645733948,0.211615062,-2.99860192,0.002712214,0.019712422,Ltbp4
Irx1,9.083982052,-0.643488339,0.192719141,-3.416292351,0.000634801,0.005943728,Irx1
Brinp1,34.82110098,-0.642970937,0.199374373,-3.225486494,0.001257588,0.010497246,Brinp1
Col1a1,44.7629594,-0.642968663,0.185357969,-3.715948854,0.000202443,0.002240336,Col1a1
Plcb1,10.59708184,-0.642885655,0.206642866,-2.959426603,0.003082121,0.021897853,Plcb1
Dhx58,876.1585101,-0.641219087,0.185742881,-3.38323054,0.000716385,0.006578752,Dhx58
Shisal1,23.59972513,-0.640672936,0.211836192,-3.052407144,0.00227014,0.017076318,Shisal1
BC051226,48.34367959,-0.640531932,0.201538913,-3.221291688,0.001276142,0.01061916,BC051226
Plxnb1,50.30124478,-0.639773707,0.211742606,-3.304381194,0.000951863,0.008328802,Plxnb1
Phldb2,8.232480158,-0.63933907,0.201027699,-3.343472703,0.000827368,0.00741232,Phldb2
