"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","Average.UMI.per.cell..homeostatic.microglia.","Fold.change..DAM.to.homeostatic.microglia.","X.log10.DAM..p.value..Mann.Whitney.","DAM.FDR.p.value"
"394","Ppp3ca",7.38e-07,-0.130772121,0.825,0.834,0.019773861,"Ppp3ca",0.388235,-1.058627,2.115449,1.526386
"395","Mkln1",1.59e-06,-0.128350371,0.544,0.565,0.042524167,"Mkln1",0.138824,-1.108166,1.221764,0.875558
"396","Stau1",5.41e-10,-0.125288242,0.313,0.315,1.45e-05,"Stau1",0.115588,0.748852,1.299245,0.926936
"397","Itch",4.23e-09,-0.124107459,0.599,0.597,0.000113209,"Itch",0.129118,-1.063472,0.738854,0.555345
"398","Ss18",9.41e-08,-0.123614546,0.266,0.273,0.002520139,"Ss18",0.174412,-1.437412,2.00801,1.440358
"399","Setd3",9.43e-09,-0.123315013,0.364,0.369,0.000252516,"Setd3",0.105,0.159537,0.057625,0.231612
"400","Clk1",2.5e-09,-0.122302758,0.521,0.519,6.69e-05,"Clk1",0.295882,-1.650599,3.451053,2.669777
"401","Ski",7.89e-07,-0.122168961,0.555,0.563,0.021140406,"Ski",0.537353,-0.350454,0.457676,0.409838
"402","Ttc28",1.32e-06,-0.12203911,0.676,0.677,0.035469684,"Ttc28",0.428529,-0.685301,1.379124,0.978222
"403","Sft2d1",2.31e-11,-0.121145261,0.508,0.5,6.2e-07,"Sft2d1",0.577353,-0.14978,0.098987,0.247554
"404","Cspp1",1.99e-08,-0.121069397,0.284,0.284,0.000533864,"Cspp1",0.030588,-5.868478,1.512748,1.072638
"405","Hnrnpr",2.8e-08,-0.11751145,0.286,0.288,0.000750881,"Hnrnpr",0.102647,-0.708231,0.088939,0.243259
"406","Nckap1l",1.92e-08,-0.11694145,0.584,0.586,0.000513337,"Nckap1l",1.069706,-0.793223,3.841575,3.00651
"407","Acin1",7.23e-07,-0.11564003,0.471,0.479,0.019364174,"Acin1",0.193529,-0.822623,1.531582,1.08544
"408","Wdr33",1.74e-09,-0.105725971,0.489,0.479,4.66e-05,"Wdr33",0.093529,-1.054656,0.06625,0.235109
"409","Akap9",9.25e-07,-0.103873751,0.346,0.346,0.024777201,"Akap9",0.146471,-0.307861,0.188356,0.281132
"410","Med13",1.41e-12,-0.10355289,0.412,0.395,3.78e-08,"Med13",0.120882,-0.458715,0.868761,0.635942
"411","Pcm1",5.14e-09,-0.101665659,0.481,0.474,0.000137739,"Pcm1",0.141176,-0.865475,0.245553,0.314692
"412","Pbrm1",3.07e-08,-0.101413032,0.385,0.379,0.000821419,"Pbrm1",0.250588,-0.742876,2.221342,1.610647
"413","Pik3c2a",3.02e-07,-0.100359053,0.278,0.275,0.008098818,"Pik3c2a",0.119118,-0.971835,0.799729,0.592177
"414","Fubp1",1.39e-08,0.102279382,0.581,0.513,0.000373215,"Fubp1",0.156471,-0.53682,0.348924,0.353505
"415","Ep400",1e-06,0.102891934,0.38,0.324,0.026775818,"Ep400",0.114118,-0.46417,0.025014,0.218512
"416","Pcmtd1",2.8e-07,0.103837486,0.482,0.422,0.007498642,"Pcmtd1",0.099118,-0.466611,0.533981,0.453248
"417","Ate1",1.84e-07,0.10454108,0.283,0.234,0.004928509,"Ate1",0.083235,-0.301469,0.094059,0.245475
"418","Rapgef6",1.53e-06,0.105985563,0.549,0.487,0.041039872,"Rapgef6",0.204412,-1.827547,2.987035,2.25713
"419","Rgl2",1.3e-09,0.107108349,0.3,0.243,3.49e-05,"Rgl2",0.174118,-0.649571,0.882148,0.642398
"420","Smg7",3.42e-07,0.107158255,0.267,0.217,0.009163598,"Smg7",0.086176,-0.823636,0.728733,0.552137
"421","Tnks2",1.32e-06,0.108046852,0.455,0.395,0.035225172,"Tnks2",0.220588,-0.187403,0.574466,0.471849
"422","Cox7c",1.55e-06,0.108798731,0.261,0.212,0.041576095,"Cox7c",0.062647,0.667108,1.779235,1.26376
"423","Rpl13",1.3e-07,0.109282704,0.307,0.251,0.003488161,"Rpl13",0.765,0.600854,5.622599,4.634962
