"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","Average.UMI.per.cell..homeostatic.microglia.","Fold.change..DAM.to.homeostatic.microglia.","X.log10.DAM..p.value..Mann.Whitney.","DAM.FDR.p.value"
"673","Snx30",3.36e-20,0.32401105,0.528,0.417,8.99e-16,"Snx30",0.092353,-0.668243,0.766939,0.573361
"674","Stat2",4.64e-17,0.324532184,0.306,0.213,1.24e-12,"Stat2",0.030588,0.15389,0.497152,0.431348
"675","Lpcat1",2.97e-20,0.324959832,0.304,0.204,7.95e-16,"Lpcat1",0.304118,-0.107917,0.046175,0.226165
"676","Ehd4",1.5e-21,0.325866959,0.511,0.393,4.02e-17,"Ehd4",0.414412,-0.366399,0.359198,0.357821
"677","Rasa1",9.91e-26,0.330617361,0.587,0.456,2.65e-21,"Rasa1",0.211765,-0.156065,0.037094,0.222084
"678","Ccnl1",4.54e-19,0.330975895,0.545,0.447,1.22e-14,"Ccnl1",0.113235,0.303943,0.713457,0.544146
"679","Frrs1",3.28e-28,0.333349451,0.625,0.489,8.78e-24,"Frrs1",0.033824,1.693831,2.929225,2.207989
"680","Rragc",7.68e-25,0.333428966,0.267,0.162,2.06e-20,"Rragc",0.177647,0.400912,2.203382,1.596221
"681","Tbc1d22a",6.83e-27,0.3356827,0.666,0.544,1.83e-22,"Tbc1d22a",0.119118,-0.710875,0.512118,0.440584
"682","Msn",1.27e-19,0.335930787,0.511,0.403,3.41e-15,"Msn",0.529118,-0.183356,0.567853,0.470029
"683","Cyba",4.87e-25,0.342332251,0.38,0.259,1.3e-20,"Cyba",0.9,0.603585,7.227382,6.117265
"684","Fndc3b",9.34e-25,0.343199998,0.541,0.413,2.5e-20,"Fndc3b",0.090882,0.253986,0.962755,0.691285
"685","Abcb1b",7.87e-17,0.343735338,0.333,0.24,2.11e-12,"Abcb1b",0.053824,-0.850848,0.028013,0.219626
"686","Eprs",6.4e-25,0.344303868,0.281,0.173,1.71e-20,"Eprs",0.142059,0.60957,1.403934,0.994745
"687","Fgd4",2.45e-20,0.344841652,0.494,0.382,6.57e-16,"Fgd4",0.054118,0.508072,0.733135,0.555067
"688","Atp13a2",2.04e-22,0.345207826,0.277,0.175,5.47e-18,"Atp13a2",0.202059,-0.124599,0.142321,0.268547
"689","Asap1",5.9e-25,0.345872795,0.858,0.824,1.58e-20,"Asap1",0.132353,0.912999,1.364551,0.968277
"690","Man1c1",6.6e-24,0.348931738,0.657,0.546,1.77e-19,"Man1c1",0.333235,0.388203,1.622664,1.147642
"691","Chka",7.17e-21,0.349282654,0.342,0.236,1.92e-16,"Chka",0.057059,-0.501164,0.098327,0.247125
"692","Cadm1",2.86e-17,0.349627571,0.741,0.652,7.66e-13,"Cadm1",0.225882,2.492552,33.410246,31.300129
"693","Samd8",4.15e-20,0.350383522,0.284,0.189,1.11e-15,"Samd8",0.195588,-0.500854,0.021088,0.216947
"694","Skap2",1.74e-37,0.350608509,0.838,0.746,4.67e-33,"Skap2",0.215588,-0.859159,0.080589,0.239307
"695","Ptk2b",6.78e-20,0.350677806,0.581,0.484,1.82e-15,"Ptk2b",0.102059,0.459259,1.540149,1.089427
"696","Npc2",2.35e-22,0.35153026,0.432,0.315,6.3e-18,"Npc2",0.962353,1.672936,34.467233,32.328153
"697","Slc44a1",4.41e-25,0.354517438,0.281,0.173,1.18e-20,"Slc44a1",0.055882,1.745922,4.221453,3.345069
"698","Abhd12",1.12e-36,0.357113902,0.851,0.774,3e-32,"Abhd12",1.500588,0.423508,2.114691,1.52605
"699","Nadk",2.09e-20,0.362543863,0.311,0.209,5.6e-16,"Nadk",0.148824,-0.62747,0.944713,0.679695
"700","Sdcbp",2.3e-24,0.365811535,0.456,0.334,6.15e-20,"Sdcbp",0.467647,0.600163,2.642325,1.959402
"701","Sat1",6.98e-29,0.367900281,0.687,0.564,1.87e-24,"Sat1",0.326471,0.197418,1.178919,0.84672
"702","Ankrd12",2.17e-30,0.369146516,0.627,0.488,5.81e-26,"Ankrd12",0.070882,0.378504,0.007325,0.211347
"703","Nsmce2",9.22e-33,0.371988274,0.63,0.485,2.47e-28,"Nsmce2",0.035294,0.494927,0.821,0.605664
"704","Slc11a1",4.25e-27,0.373477057,0.452,0.322,1.14e-22,"Slc11a1",0.494412,0.486455,3.853579,3.015529
"705","Rnf150",5.92e-18,0.378645374,0.412,0.312,1.59e-13,"Rnf150",0.043824,0.657188,2.463244,1.816972
"706","Med14",1.58e-21,0.383216173,0.319,0.216,4.23e-17,"Med14",0.032353,1.116692,0.895923,0.652761
"707","Med15",2.61e-35,0.383245238,0.38,0.239,6.98e-31,"Med15",0.085882,-0.803274,0.853349,0.626253
"708","Rab40c",5.32e-24,0.384700137,0.418,0.3,1.42e-19,"Rab40c",0.067647,-0.99116,0.121334,0.257526
"709","Ctsl",2.81e-24,0.384950117,0.496,0.371,7.53e-20,"Ctsl",2.237941,1.456878,31.996289,29.913325
"710","Tlk1",7e-29,0.388811469,0.509,0.373,1.88e-24,"Tlk1",0.137353,0.222071,0.184938,0.280864
"711","Irf8",1.95e-32,0.389487956,0.617,0.476,5.23e-28,"Irf8",0.747059,0.173298,0.315617,0.345887
"712","Gnl3",1.62e-30,0.390836874,0.273,0.157,4.33e-26,"Gnl3",0.124412,-0.466287,0.192828,0.283404
"713","Grb2",4.2e-34,0.39149252,0.691,0.563,1.12e-29,"Grb2",0.418235,-0.920644,0.917262,0.667387
"714","Parp14",3.81e-12,0.394187708,0.393,0.32,1.02e-07,"Parp14",0.143529,-1.087548,1.133671,0.814134
"715","Cdk17",1.69e-27,0.394353689,0.494,0.364,4.51e-23,"Cdk17",0.033824,-0.313088,0.088481,0.24303
"716","Psap",7.6e-34,0.394849108,0.793,0.695,2.04e-29,"Psap",1.999706,0.420527,2.503071,1.848536
"717","Plekhm3",8.43e-36,0.396743158,0.64,0.488,2.26e-31,"Plekhm3",0.056765,0.294788,1.332877,0.950984
"718","Ctsa",1.68e-33,0.400685875,0.478,0.33,4.49e-29,"Ctsa",1.497647,1.195445,21.505042,19.729639
"719","Sgpl1",4.99e-30,0.400940064,0.433,0.297,1.34e-25,"Sgpl1",0.398235,0.21522,1.175401,0.844136
"720","H2-D1",1.3e-47,0.401622898,0.584,0.402,3.47e-43,"H2-D1",0.337941,2.988854,51.773366,49.318016
"721","4930402H24Rik",3.97e-29,0.404123604,0.289,0.173,1.06e-24,"4930402H24Rik",0.027647,-3.400699,0.642936,0.507881
"722","Usp12",1.1e-32,0.404336746,0.625,0.486,2.94e-28,"Usp12",0.062647,1.267177,3.977535,3.12964
"723","Atp6v0d1",1.95e-30,0.40591251,0.396,0.263,5.23e-26,"Atp6v0d1",0.219118,0.412399,1.430865,1.014362
"724","Zeb2",7.9e-50,0.406184002,0.964,0.926,2.12e-45,"Zeb2",0.468235,-1.097303,4.523535,3.613138
"725","Tnip2",5.8e-36,0.407320889,0.301,0.17,1.55e-31,"Tnip2",0.035294,0.611572,2.1764,1.574488
"726","Aig1",4.12e-21,0.408006871,0.396,0.288,1.1e-16,"Aig1",0.066471,1.201608,1.466252,1.040286
"727","Tor3a",9.42e-25,0.411141237,0.256,0.156,2.52e-20,"Tor3a",0.174706,-0.172904,0.03816,0.222439
"728","Cpeb2",5.57e-31,0.41219359,0.439,0.3,1.49e-26,"Cpeb2",0.106765,0.305416,1.321445,0.942684
"729","Rpl10a",3.41e-33,0.413031924,0.417,0.276,9.15e-29,"Rpl10a",0.167941,1.359364,13.12224,11.727588
"730","Adcy7",2.25e-35,0.41665517,0.543,0.391,6.03e-31,"Adcy7",0.211471,-1.257006,1.505332,1.067909
"731","Amz1",1.9e-29,0.4189721,0.291,0.173,5.08e-25,"Amz1",0.066176,0.485786,0.09062,0.243949
"732","Samsn1",8.27e-27,0.423110255,0.509,0.39,2.22e-22,"Samsn1",0.389706,0.283553,0.715428,0.544669
"733","Cd68",1.89e-33,0.423698642,0.372,0.234,5.06e-29,"Cd68",1.267941,1.339356,28.332805,26.322392
"734","C3ar1",6.51e-40,0.428999927,0.313,0.174,1.74e-35,"C3ar1",0.641765,0.529245,4.163837,3.293948
"735","Pfkfb3",6.35e-34,0.434038875,0.473,0.327,1.7e-29,"Pfkfb3",0.122941,0.259029,1.346915,0.958689
"736","Slc3a2",3.17e-36,0.434505043,0.322,0.187,8.5e-32,"Slc3a2",0.69,-0.498292,0.63116,0.501121
"737","BC005537",4.24e-36,0.435835439,0.351,0.212,1.13e-31,"BC005537",0.361176,-0.288026,0.089868,0.243807
"738","Ctsc",3.84e-21,0.437047116,0.482,0.398,1.03e-16,"Ctsc",0.964118,0.223483,1.369774,0.972144
"739","Elf2",8.59e-43,0.439073026,0.617,0.452,2.3e-38,"Elf2",0.187353,-0.53482,0.156858,0.274545
"740","Mcl1",6.88e-34,0.441911685,0.398,0.258,1.84e-29,"Mcl1",0.599412,-0.757964,2.125337,1.53118
"741","Fbxl17",1.39e-44,0.444054556,0.81,0.73,3.71e-40,"Fbxl17",0.063824,-1.681662,0.883071,0.642943
"742","Lrrc8d",4.4e-35,0.445452709,0.556,0.414,1.18e-30,"Lrrc8d",0.062059,0.962612,3.224925,2.470402
"743","Fyn",3.7e-47,0.447391762,0.286,0.143,9.91e-43,"Fyn",0.047059,0.565316,1.15942,0.832792
"744","Rasa4",1.08e-31,0.448497012,0.437,0.3,2.89e-27,"Rasa4",0.105,0.623645,0.453101,0.40708
"745","Gpr183",4.05e-26,0.448532678,0.496,0.387,1.09e-21,"Gpr183",0.487059,-0.901523,2.291816,1.668518
"746","Bcl2a1b",4.23e-35,0.450077603,0.282,0.156,1.13e-30,"Bcl2a1b",0.106471,2.12165,16.197504,14.660484
"747","H3f3b",2.57e-38,0.450952432,0.422,0.27,6.88e-34,"H3f3b",0.922941,-0.324236,0.470047,0.417695
"748","Nfkb1",1.2e-29,0.451208259,0.691,0.6,3.22e-25,"Nfkb1",0.260882,-0.5472,0.105261,0.249794
"749","Pld3",9.1e-48,0.453459611,0.298,0.151,2.44e-43,"Pld3",0.289118,1.763589,19.032597,17.360538
"750","Ywhag",2.55e-37,0.459547308,0.363,0.22,6.82e-33,"Ywhag",0.256765,-0.76295,0.765424,0.572525
"751","Mfhas1",1.73e-34,0.459814711,0.426,0.281,4.63e-30,"Mfhas1",0.120294,-0.259032,0.003655,0.21005
"752","Atp6v1c1",8.57e-35,0.46012201,0.483,0.344,2.29e-30,"Atp6v1c1",0.140588,1.115971,3.615115,2.812977
"753","Gnas",6.94e-36,0.462529605,0.565,0.43,1.86e-31,"Gnas",1.475882,2.152279,53.754474,51.194388
"754","Fth1",7.23e-47,0.464351424,0.631,0.456,1.94e-42,"Fth1",1.920294,1.514116,42.318021,40.017573
"755","Dnajb14",1.12e-45,0.46894507,0.439,0.271,3e-41,"Dnajb14",0.150294,1.372001,9.086333,7.901495
"756","Ctsz",1.82e-58,0.473233446,0.679,0.482,4.86e-54,"Ctsz",1.6,1.684372,45.806799,43.43577
"757","Ctsd",1.79e-46,0.474011086,0.856,0.754,4.8e-42,"Ctsd",13.804706,1.452347,65.910003,63.007495
"758","Ddx31",1.06e-31,0.475916181,0.339,0.216,2.83e-27,"Ddx31",0.043824,0.996498,2.832113,2.126058
"759","Atp6v0a1",1.47e-36,0.478530264,0.649,0.548,3.95e-32,"Atp6v0a1",0.194706,-0.538725,0.396358,0.376147
"760","Zfand5",5.26e-40,0.479406312,0.386,0.238,1.41e-35,"Zfand5",0.191471,-0.694373,0.896231,0.652878
"761","Nagk",4.01e-43,0.481778455,0.364,0.21,1.08e-38,"Nagk",0.050294,0.10061,0.156149,0.274913
"762","Mtm1",2.04e-37,0.482236134,0.275,0.149,5.47e-33,"Mtm1",0.044118,-4.811894,0.552663,0.462132
"763","Galc",1.6e-44,0.482371891,0.304,0.16,4.27e-40,"Galc",0.078529,0.505976,2.026311,1.455028
"764","Gna13",3.7e-43,0.483058067,0.466,0.306,9.9e-39,"Gna13",0.420294,-0.62646,2.026047,1.455573
"765","Lrp12",3.53e-39,0.484395067,0.326,0.186,9.47e-35,"Lrp12",0.068529,-0.290757,0.495409,0.430742
"766","Arap2",3.32e-35,0.487394687,0.251,0.132,8.89e-31,"Arap2",0.034706,2.026135,3.213027,2.459122
"767","Atxn10",9.13e-41,0.490245334,0.525,0.367,2.45e-36,"Atxn10",0.166471,1.062343,4.742916,3.811684
"768","Rnf213",8.06e-24,0.490826333,0.445,0.349,2.16e-19,"Rnf213",0.132941,-0.639489,0.414079,0.385473
"769","Ascc3",2.1e-48,0.493070481,0.673,0.513,5.61e-44,"Ascc3",0.049412,0.247,0.625697,0.498143
"770","Prickle1",1.51e-27,0.495204807,0.32,0.206,4.05e-23,"Prickle1",0.016176,0.883492,0.030533,0.220606
"771","Dhrs3",1.31e-44,0.495946758,0.405,0.244,3.5e-40,"Dhrs3",0.505294,0.623637,3.40928,2.633228
"772","Cdk6",3.49e-21,0.496551985,0.421,0.341,9.35e-17,"Cdk6",0.026471,0.340109,0.019651,0.215994
"773","Pkib",3.25e-46,0.497847149,0.252,0.118,8.7e-42,"Pkib",0.049412,1.658813,3.85283,3.015528
"774","Pi4ka",1.04e-37,0.501095965,0.417,0.274,2.79e-33,"Pi4ka",0.076176,-0.54099,0.384935,0.370494
"775","Actr3",3.95e-49,0.509438607,0.614,0.454,1.06e-44,"Actr3",0.360588,-0.652994,0.079245,0.238189
"776","Abr",6.05e-57,0.514023948,0.701,0.52,1.62e-52,"Abr",0.104706,-0.405367,0.437946,0.399118
"777","Fnip1",6.2e-60,0.515369137,0.719,0.547,1.66e-55,"Fnip1",0.177647,-0.567239,0.817441,0.603175
"778","Zc3h12c",5.18e-39,0.516659611,0.311,0.175,1.39e-34,"Zc3h12c",0.019118,-0.283515,0.009624,0.211876
"779","Lat2",6.35e-46,0.518279675,0.33,0.179,1.7e-41,"Lat2",0.165,0.510677,2.674199,1.987593
"780","Akap10",1.87e-56,0.519535519,0.676,0.521,5e-52,"Akap10",0.081765,-0.827547,0.10304,0.248974
"781","Abl2",5.73e-50,0.520537328,0.543,0.367,1.54e-45,"Abl2",0.111176,-0.21458,0.165088,0.275923
"782","4931406P16Rik",3.9e-46,0.527200856,0.394,0.234,1.05e-41,"4931406P16Rik",0.055588,1.367752,2.225653,1.614514
"783","Lipa",7.81e-49,0.530280285,0.253,0.117,2.09e-44,"Lipa",0.302647,0.474191,2.816811,2.114059
"784","Cotl1",1.82e-53,0.532539122,0.626,0.452,4.88e-49,"Cotl1",0.465294,0.477058,2.695302,2.004448
"785","Ftl1",8.69e-52,0.533848426,0.366,0.199,2.33e-47,"Ftl1",0.036765,2.160799,13.432738,12.02716
"786","Spag9",1.13e-55,0.537947727,0.692,0.544,3.02e-51,"Spag9",0.145,-0.894313,0.172903,0.275661
"787","Akt3",1.94e-58,0.541743483,0.656,0.471,5.19e-54,"Akt3",0.027647,0.581154,0.941588,0.678766
"788","Ptpn12",1.04e-46,0.549995834,0.285,0.142,2.78e-42,"Ptpn12",0.029706,-0.399985,0.155893,0.274988
"789","Rap2a",4.18e-45,0.552338167,0.398,0.242,1.12e-40,"Rap2a",0.299118,0.392605,1.855405,1.323225
"790","Ccdc88a",3.85e-55,0.55580555,0.514,0.328,1.03e-50,"Ccdc88a",0.056471,1.850626,1.395739,0.99016
"791","Arid5b",2.89e-48,0.569345445,0.64,0.474,7.74e-44,"Arid5b",0.093235,-0.618396,0.322751,0.348023
"792","Prdx1",2.98e-46,0.573492941,0.268,0.131,7.98e-42,"Prdx1",0.189118,1.258175,4.615023,3.694787
"793","Rabep1",8.25e-79,0.573814705,0.74,0.551,2.21e-74,"Rabep1",0.111471,-0.615151,0.433126,0.396314
"794","Pgap1",2.94e-63,0.574389377,0.273,0.115,7.88e-59,"Pgap1",0.015294,0.590954,0.615764,0.492564
"795","Ncf2",2.32e-56,0.574446632,0.552,0.382,6.21e-52,"Ncf2",0.451471,-0.355456,0.553619,0.462552
"796","Tns3",2.89e-99,0.574462762,0.881,0.749,7.75e-95,"Tns3",0.205882,0.460236,1.337305,0.95252
"797","Map4k3",2.33e-64,0.578061002,0.617,0.428,6.24e-60,"Map4k3",0.043824,0.285219,0.01489,0.213785
"798","Abca1",1.12e-84,0.586011369,0.831,0.698,3.01e-80,"Abca1",0.469118,-0.903497,2.906122,2.188873
"799","Ifi204",1.55e-40,0.588728936,0.389,0.238,4.16e-36,"Ifi204",0.030882,2.470863,4.852602,3.911989
"800","Ccny",2.8e-52,0.591083976,0.591,0.431,7.51e-48,"Ccny",0.082941,1.063098,1.79253,1.273478
"801","B4galt5",5.36e-56,0.599050436,0.276,0.127,1.43e-51,"B4galt5",0.079118,-1.484613,0.780021,0.581148
"802","Plekha1",2.59e-80,0.599502659,0.617,0.386,6.94e-76,"Plekha1",0.102353,0.688227,2.045684,1.470739
"803","Tecpr1",1.39e-50,0.607374281,0.27,0.13,3.73e-46,"Tecpr1",0.065882,0.51646,1.061338,0.761974
"804","Myo1f",3.1e-138,0.615333199,0.926,0.785,8.31e-134,"Myo1f",0.251765,0.594321,2.30387,1.678283
"805","Atg7",1.21e-70,0.622994177,0.458,0.251,3.24e-66,"Atg7",0.040882,0.413461,0.0958,0.24637
"806","Vps13c",9.01e-81,0.626476325,0.657,0.444,2.41e-76,"Vps13c",0.03,1.090274,2.238905,1.625093
"807","Rufy3",1.15e-66,0.6307223,0.494,0.296,3.07e-62,"Rufy3",0.054118,-0.232168,0.010417,0.212601
"808","Plin2",1.87e-71,0.630969849,0.265,0.101,5.01e-67,"Plin2",0.045882,1.030376,2.442479,1.798129
"809","Rbm47",3.45e-84,0.638552746,0.762,0.589,9.23e-80,"Rbm47",0.103235,-1.248326,1.25887,0.898938
"810","Coro1c",5.66e-72,0.648872725,0.397,0.2,1.52e-67,"Coro1c",0.096765,1.166986,1.69399,1.203775
"811","Dtnbp1",3.36e-82,0.652488375,0.581,0.354,9.01e-78,"Dtnbp1",0.097647,0.661494,1.967157,1.409827
"812","Tec",2.25e-81,0.653728734,0.635,0.438,6.02e-77,"Tec",0.113824,0.333804,0.912089,0.66395
"813","Slc15a3",1.17e-60,0.65543042,0.316,0.153,3.13e-56,"Slc15a3",0.293235,0.862034,5.67053,4.678646
"814","Ctnnb1",1.07e-72,0.660398409,0.411,0.215,2.87e-68,"Ctnnb1",0.356471,0.318409,0.714722,0.544447
"815","Alpk1",1.35e-63,0.660709639,0.311,0.142,3.63e-59,"Alpk1",0.012647,0.763249,0.03177,0.220506
"816","Cpd",1.09e-66,0.662111,0.357,0.175,2.93e-62,"Cpd",0.050294,2.603934,9.408264,8.201238
"817","Atp2b1",1.28e-115,0.662254624,0.86,0.721,3.43e-111,"Atp2b1",0.456765,-1.229721,1.786482,1.268507
"818","Nlrc5",1.17e-71,0.665300955,0.379,0.184,3.13e-67,"Nlrc5",0.005,3.04828,1.696173,1.204947
"819","Dnmt3a",1.03e-99,0.665381459,0.783,0.605,2.77e-95,"Dnmt3a",0.140882,0.447717,0.363158,0.359595
"820","Ptprc",8.46e-176,0.681719399,0.934,0.818,2.27e-171,"Ptprc",0.434706,0.31096,2.200002,1.59372
"821","Cd63",6.66e-82,0.687326418,0.419,0.205,1.78e-77,"Cd63",0.390588,2.326131,41.012193,38.753137
"822","Cd48",1.08e-78,0.69179792,0.499,0.282,2.9e-74,"Cd48",0.226176,1.208018,9.237716,8.044478
"823","Myo9b",1.66e-113,0.692852837,0.704,0.444,4.44e-109,"Myo9b",0.080294,1.270586,0.51347,0.441422
"824","St8sia6",2.98e-80,0.70218818,0.361,0.161,7.97e-76,"St8sia6",0.039706,2.455586,9.481259,8.272478
"825","Slc23a2",1.09e-80,0.704270529,0.575,0.362,2.91e-76,"Slc23a2",0.069118,1.791496,5.407386,4.43019
"826","Cd84",1.08e-145,0.705811065,0.888,0.713,2.9e-141,"Cd84",0.345294,0.399617,3.895051,3.05324
"827","Atp6v1a",3.39e-80,0.708216119,0.434,0.227,9.07e-76,"Atp6v1a",0.140882,1.110475,4.917557,3.971217
"828","Plek",1.58e-67,0.715262548,0.628,0.484,4.24e-63,"Plek",0.625,0.642127,6.487806,5.441422
"829","Slc16a10",2.12e-80,0.720404816,0.506,0.287,5.69e-76,"Slc16a10",0.030588,1.02634,0.695796,0.536327
"830","Anxa4",3.2e-92,0.725149097,0.269,0.088,8.58e-88,"Anxa4",0.037941,0.178287,0.623222,0.496397
"831","Abcg1",1.14e-88,0.730817327,0.524,0.294,3.06e-84,"Abcg1",0.201471,-0.20862,0.187256,0.28161
"832","Tpd52",1.63e-92,0.73322969,0.608,0.384,4.36e-88,"Tpd52",0.124118,1.686402,9.801211,8.567089
"833","Rassf3",3.41e-99,0.733254099,0.615,0.368,9.14e-95,"Rassf3",0.119706,0.420465,4.84817,3.908505
"834","Cd83",3.41e-54,0.739165353,0.354,0.192,9.12e-50,"Cd83",0.142647,2.817012,26.457415,24.528035
"835","Itpkb",1.25e-80,0.739477011,0.583,0.385,3.35e-76,"Itpkb",0.103529,0.100451,0.442415,0.400963
"836","Dgkz",4.32e-105,0.741707748,0.648,0.425,1.16e-100,"Dgkz",0.067941,0.951757,1.806534,1.284961
"837","Nfe2l2",5.58e-87,0.742869742,0.623,0.422,1.49e-82,"Nfe2l2",0.562059,0.370642,2.059819,1.479944
"838","Hif1a",2.7e-87,0.761284371,0.511,0.289,7.24e-83,"Hif1a",0.217941,1.50198,12.899055,11.517685
"839","Slc25a25",6.21e-80,0.764793015,0.365,0.171,1.66e-75,"Slc25a25",0.027941,0.75396,1.918078,1.370446
"840","Bcl2l1",1.74e-86,0.766193352,0.575,0.393,4.66e-82,"Bcl2l1",0.145588,-0.286433,0.36049,0.357803
"841","Sgk1",6.43e-75,0.766373483,0.382,0.193,1.72e-70,"Sgk1",0.929412,-0.312957,0.765205,0.572475
"842","Nceh1",1.05e-95,0.76968989,0.408,0.182,2.81e-91,"Nceh1",0.038235,3.240047,15.816212,14.293915
"843","Ell2",5.92e-76,0.776538477,0.305,0.13,1.59e-71,"Ell2",0.012941,2.903912,2.258918,1.641967
"844","Itga5",5.32e-99,0.784907541,0.283,0.093,1.42e-94,"Itga5",0.001765,4.568928,0.946043,0.679621
"845","Nrp2",2.32e-101,0.790885486,0.495,0.252,6.21e-97,"Nrp2",0.084118,-0.272627,0.477207,0.422765
"846","Gnptab",1.16e-106,0.795615654,0.411,0.176,3.1e-102,"Gnptab",0.034412,1.131522,2.508415,1.851913
"847","Nrp1",3.82e-123,0.802035693,0.769,0.533,1.02e-118,"Nrp1",0.825882,0.851862,8.998915,7.820683
"848","Csf2ra",3.45e-120,0.829458049,0.543,0.276,9.24e-116,"Csf2ra",0.065294,1.864095,9.577174,8.363086
"849","Fmnl2",1.94e-108,0.830593641,0.727,0.497,5.18e-104,"Fmnl2",0.037059,-0.262675,0.31713,0.345877
"850","Asph",2.02e-158,0.852655972,0.813,0.625,5.41e-154,"Asph",0.558824,-0.161976,0.076501,0.237026
"851","Gng12",9.17e-120,0.854968981,0.599,0.345,2.46e-115,"Gng12",0.096176,1.544904,7.11711,6.018059
"852","Arhgap26",2.4e-121,0.858553426,0.406,0.156,6.42e-117,"Arhgap26",0.004706,3.820647,0.944637,0.679819
"853","Rnf149",4.08e-110,0.858930842,0.436,0.203,1.09e-105,"Rnf149",0.112941,1.111186,3.831626,2.998786
"854","Soat1",5.59e-130,0.859053005,0.568,0.294,1.5e-125,"Soat1",0.116471,1.224973,4.470088,3.56584
"855","Aplp2",2.89e-117,0.863302184,0.517,0.256,7.74e-113,"Aplp2",0.14,2.283658,13.981943,12.547782
"856","Tank",3.9e-87,0.863573746,0.489,0.284,1.04e-82,"Tank",0.032941,0.548169,1.040961,0.748687
"857","Litaf",6.47e-117,0.874877133,0.523,0.279,1.73e-112,"Litaf",0.252353,0.540399,1.851324,1.320254
"858","Agap1",4.45e-89,0.893955851,0.371,0.181,1.19e-84,"Agap1",0.027647,-0.915272,0.224041,0.301719
"859","Sh3bp2",5.24e-132,0.903364933,0.5,0.235,1.4e-127,"Sh3bp2",0.057941,-1.00873,0.103663,0.248897
"860","Ctsb",6.83e-197,0.922852383,0.832,0.568,1.83e-192,"Ctsb",3.778235,2.04363,68.255592,65.256173
"861","Bcl2",3.03e-175,0.923512413,0.481,0.169,8.12e-171,"Bcl2",0.066471,0.429636,2.75436,2.060294
"862","Mitf",8.15e-249,0.984881191,0.915,0.71,2.18e-244,"Mitf",0.071176,0.20772,0.20243,0.288838
"863","Neat1",5.82e-181,0.99262149,0.628,0.295,1.56e-176,"Neat1",0.069118,0.423051,1.854732,1.323292
"864","Fat3",2.32e-126,1.018843431,0.727,0.527,6.2e-122,"Fat3",0.027941,0.637146,0.720598,0.547093
"865","Trps1",1.59e-165,1.022860763,0.556,0.234,4.27e-161,"Trps1",0.016471,-1.274953,0.574574,0.47182
"866","Arhgap25",9.96999999999999e-218,1.05587488,0.771,0.528,2.67e-213,"Arhgap25",0.230882,-0.10863,0.316647,0.345902
"867","Cd9",3.85e-192,1.083161092,0.755,0.474,1.03e-187,"Cd9",1.399118,2.06811,53.356627,50.83433
"868","Plekhm2",1.01e-223,1.08372915,0.741,0.413,2.7e-219,"Plekhm2",0.039118,1.168997,4.004838,3.153097
"869","Axl",2.77e-219,1.092729242,0.599,0.231,7.42e-215,"Axl",0.069706,4.290287,48.126161,45.728803
"870","Itgax",4.09e-222,1.141335636,0.428,0.106,1.1e-217,"Itgax",0.003235,7.860371,45.544294,43.198088
"871","Etl4",1.82e-138,1.178083276,0.425,0.164,4.88e-134,"Etl4",0.004412,3.625511,5.27286,4.301809
"872","Lyz2",1.14e-173,1.245943184,0.479,0.176,3.05e-169,"Lyz2",0.421176,3.455854,70.382141,67.081693
"873","Osbpl8",4.94065645841247e-324,1.260012621,0.83,0.5,1.32330542582119e-319,"Osbpl8",0.083824,0.405064,1.56737,1.108907
"874","Acaca",1.71e-244,1.298352059,0.62,0.256,4.59e-240,"Acaca",0.012647,2.382977,4.23655,3.356883
"875","Chst11",1.36e-194,1.356096469,0.56,0.33,3.64e-190,"Chst11",0.073235,1.251339,5.961936,4.953744
"876","Apoe",0,1.392987049,0.977,0.742,0,"Apoe",2.924118,3.428991,62.739188,59.915861
"877","Ank",1.21e-191,1.476616308,0.564,0.266,3.23e-187,"Ank",0.055,4.87659,51.962204,49.47467
"878","Lgals3",2.51973479379036e-322,1.480003773,0.444,0.074,6.74885767168809e-318,"Lgals3",0.012647,2.672484,0.369827,0.362963
"879","Apbb2",0,1.504718643,0.93,0.588,0,"Apbb2",0.052647,2.651927,13.819744,12.394357
"880","Cd74",3.31e-176,1.50936657,0.46,0.16,8.86e-172,"Cd74",0.185588,2.020314,15.442088,13.961184
"881","Cybb",2.89e-272,1.521728376,0.411,0.077,7.75e-268,"Cybb",0.055294,2.691001,9.026283,7.844761
"882","Apobec1",0,1.561307741,0.907,0.497,0,"Apobec1",0.154706,-0.637101,0.141998,0.268468
"883","Csf1",4.62e-257,1.649992417,0.528,0.171,1.24e-252,"Csf1",0.017941,5.225405,27.866522,25.888294
"884","Gpnmb",4.92e-203,1.678805801,0.255,0.03,1.32e-198,"Gpnmb",0.006176,4.174354,5.666424,4.675606
"885","Fam20c",0,1.766716614,0.524,0.09,0,"Fam20c",0.006765,5.700718,21.584578,19.802644
"886","Igf1",0,1.953848598,0.521,0.093,0,"Igf1",0.033824,4.222486,24.230077,22.344602
"887","Lpl",0,2.218905562,0.493,0.092,0,"Lpl",0.097353,4.946601,69.184014,66.059657
"888","Myo1e",0,2.235594819,0.705,0.26,0,"Myo1e",0.05,2.317389,14.878018,13.406874
"889","Spp1",0,2.627225152,0.547,0.098,0,"Spp1",0.035588,4.312911,29.102839,27.069563
