,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Hpgds,2.00E-46,-0.373842761,0.763,0.819,5.36E-42
Thada,2.72E-22,-0.372706353,0.331,0.4,7.29E-18
Marcks,2.32E-24,-0.370548223,0.434,0.532,6.21E-20
Hltf,1.93E-24,-0.368948522,0.307,0.392,5.18E-20
Stambpl1,4.23E-20,-0.367680057,0.262,0.341,1.13E-15
Phactr2,1.44E-19,-0.365390508,0.286,0.347,3.86E-15
Celf2,7.94E-37,-0.364276617,0.817,0.858,2.13E-32
Slc12a9,5.27E-19,-0.363671119,0.181,0.267,1.41E-14
Klf3,3.21E-22,-0.360402677,0.273,0.353,8.59E-18
Eml6,2.81E-17,-0.357642356,0.309,0.396,7.54E-13
Rhoh,1.42E-22,-0.357434012,0.392,0.476,3.82E-18
Ttc7,6.22E-19,-0.35726776,0.19,0.273,1.67E-14
Git2,8.71E-28,-0.356385762,0.495,0.584,2.33E-23
C1qb,5.67E-27,-0.356294158,0.627,0.709,1.52E-22
Fcgr3,3.54E-20,-0.355669924,0.227,0.305,9.48E-16
Itga6,5.60E-21,-0.353762983,0.405,0.497,1.50E-16
Abcc3,1.37E-17,-0.352726105,0.197,0.281,3.66E-13
Acap2,1.32E-32,-0.352531914,0.596,0.663,3.53E-28
Ywhah,1.18E-20,-0.352364074,0.18,0.256,3.15E-16
Tnrc6b,2.32E-28,-0.350389144,0.593,0.69,6.22E-24
C1qc,1.04E-26,-0.350353619,0.669,0.728,2.79E-22
Ncf1,1.80E-18,-0.350230283,0.242,0.329,4.83E-14
Frmd4b,1.03E-45,-0.349839113,0.809,0.855,2.75E-41
Ccm2,3.82E-20,-0.348755832,0.238,0.311,1.02E-15
Tsc22d4,1.20E-23,-0.348679137,0.4,0.481,3.22E-19
Strada,2.24E-18,-0.34412866,0.235,0.294,6.01E-14
Ppcdc,3.22E-21,-0.343617111,0.424,0.52,8.62E-17
Plcg2,1.59E-26,-0.342037501,0.522,0.603,4.26E-22
Tspan14,6.44E-19,-0.341713938,0.349,0.432,1.72E-14
5330438D12Rik,2.60E-29,-0.340125645,0.711,0.766,6.95E-25
Agps,1.62E-20,-0.339756426,0.391,0.47,4.34E-16
Tgfa,6.79E-16,-0.336698723,0.203,0.276,1.82E-11
Cebpz,5.44E-19,-0.336395391,0.238,0.305,1.46E-14
Unc93b1,1.40E-35,-0.335977287,0.736,0.817,3.75E-31
Evi5,2.29E-17,-0.33591534,0.226,0.293,6.14E-13
Tm6sf1,4.89E-16,-0.332320891,0.267,0.35,1.31E-11
Helz,1.15E-19,-0.331349515,0.293,0.37,3.08E-15
Atxn1,1.50E-13,-0.331203352,0.438,0.498,4.03E-09
