symbol,LogFC,FDR
Mid1ip1,-0.355049801,2.67E-08
Dcp1a,-0.353929277,0.001415133
Rasal2,-0.353706002,0.0000733
Rap1a,-0.353274529,0.00000211
Fez1,-0.353167517,5.61E-10
Gnb4,-0.352654224,0.000440737
Ccdc89,-0.352401111,0.020763829
Rhobtb3,-0.351619343,0.0000155
Mest,-0.35105922,0.045817287
Ugt8a,-0.349567269,0.0014557
Agpat4,-0.349149354,0.000000016
Gpr62,-0.34892681,0.0000179
Piga,-0.347543945,0.0000675
Cyp4f14,-0.347095254,0.003883139
Scrn2,-0.346141583,0.001999058
Mgat3,-0.345632007,0.000115656
Adam19,-0.344775077,0.000530721
Cntln,-0.344749002,0.000174466
Uggt2,-0.344208133,0.003654631
Tuba1a,-0.343755815,0.00021187
Adamts20,-0.343672822,0.000824425
Chpt1,-0.343344543,0.000000107
Caskin2,-0.343051769,0.0000277
Ly6g6f,-0.342644805,0.001387422
Oat,-0.342088064,0.0000008
Mthfd2,-0.342051371,0.003563432
Cobl,-0.341993371,0.000270186
Mccc2,-0.341468376,0.000106509
Macf1,-0.341242296,0.00000024
C2cd2,-0.339693713,0.00017166
Pcolce2,-0.339615794,0.000000348
Tmem63a,-0.339610954,2.86E-10
Adap1,-0.339363068,0.0000321
Tmem132d,-0.338700518,0.030281628
Osbp2,-0.338212241,0.000218799
B4gat1,-0.337812572,0.00000698
Slc12a6,-0.337662242,0.00000685
2510002D24Rik,-0.33749436,0.000482527
Mum1,-0.337486454,0.00000681
Sorbs1,-0.337272893,0.000393069
Rab33b,-0.336900665,0.000000523
Pdp2,-0.336400261,0.00924168
Tspan5,-0.336191824,1.26E-09
Arsb,-0.336069045,0.00000261
Etv1,-0.336006078,0.000265739
Eps15,-0.335902593,0.001155743
Abhd12,-0.335211127,1.44E-11
Osbpl7,-0.334498158,1.32E-08
Fads6,-0.333911774,0.00000391
Magt1,-0.333736043,8.74E-08
Tusc3,-0.333628876,0.002115759
Slc19a1,-0.333074209,0.0304279
Sypl,-0.331917456,0.00000048
Rbm4b,-0.331498236,0.0000172
Nos1ap,-0.331461958,0.000742824
Csrnp3,-0.331157759,0.0011773
Gpld1,-0.331004051,0.043032532
Myo1e,-0.330702994,0.0000866
Retreg1,-0.330575564,8.78E-11
Lurap1,-0.330240486,0.002256629
Tprkb,-0.330037177,1.32E-08
Fam69a,-0.329515925,0.00754176
Idh1,-0.329450517,0.000333155
Cpd,-0.328939781,9.96E-09
Sfxn2,-0.328735281,0.000110363
Morc4,-0.328658652,0.022013436
Lancl1,-0.32863427,6.95E-08
Svil,-0.328492673,0.003547397
Cbx7,-0.328121723,0.003069747
Tbc1d16,-0.327829613,0.002593091
Prmt2,-0.327696285,1.96E-08
rf,-0.327606022,0.000651004
Mapkap1,-0.32756692,0.00000442
Inpp5j,-0.327411892,0.003957139
Inpp5f,-0.327346671,2.94E-10
Slc9a6,-0.326530594,0.00000777
Ctsk,-0.325744074,0.0000249
Adipor2,-0.325494598,0.000112229
Sorcs3,-0.325347993,0.026044177
Pik3cb,-0.32533775,0.000531076
Slc2a1,-0.325230232,0.0000234
Mageh1,-0.325173128,0.00000145
Slu7,-0.324762411,0.0000145
H2afy2,-0.324702172,0.048146643
Stxbp6,-0.324519232,9.53E-08
Wrap53,-0.324186672,0.00000293
Epb41l2,-0.323622066,0.000000902
Rpia,-0.323592485,0.000252122
Phactr2,-0.323218229,0.00000498
Apbb1,-0.323042289,0.00000139
Khk,-0.322698418,0.002238454
Ago1,-0.321823744,0.00000267
Fgd3,-0.321735177,0.010637655
Mob3b,-0.321245817,0.0000627
Osgin2,-0.32037923,0.001511949
Ptp4a1,-0.320286959,0.002238012
Serac1,-0.32024128,0.012104846
Rab9,-0.320114087,3.31E-09
Rhbdl1,-0.319648816,0.031094126
Scamp5,-0.319398108,0.000000508
Tsc22d3,-0.317510067,0.000079
Klhl13,-0.317327905,0.014110422
Cnn3,-0.317177697,0.0000023
Sgk3,-0.316761608,0.0000022
Slc27a4,-0.316677134,0.00000763
Rnpep,-0.316529968,0.000219001
Tmem132a,-0.316485386,0.001558327
Zfp14,-0.3163393,0.000849754
Lrig3,-0.315853669,0.002656801
Rin2,-0.315487032,0.000188071
Ints6l,-0.314909308,0.0000292
