gene,X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,color,Average.UMI.per.cell..homeostatic.microglia.,Fold.change..DAM.to.homeostatic.microglia.,X.log10.DAM..p.value..Mann.Whitney.,DAM.FDR.p.value
Rsf1,Rsf1,2.87E-31,-0.143653695,0.399,0.357,7.71E-27,blue,0.185,-0.973101,0.31626,0.346124
Rsrc1,Rsrc1.1,8.95E-32,0.147451762,0.574,0.449,2.40E-27,red,0.076471,-0.886625,0.186643,0.281609
Rtn1,Rtn1.2,1.09E-64,-0.781704386,0.289,0.411,2.93E-60,blue,0.221765,-2.012213,4.457253,3.556478
Rtn4rl1,Rtn4rl1.2,1.17E-25,-0.337265252,0.361,0.401,3.13E-21,blue,0.746471,-1.176018,6.405642,5.367645
Rttn,Rttn,9.59E-47,0.349697324,0.256,0.129,2.57E-42,red,0.012647,1.89755,0.699007,0.538123
Rufy3,Rufy3.2,7.39E-71,0.568145769,0.482,0.264,1.98E-66,red,0.054118,-0.232168,0.010417,0.212601
Runx1,Runx1,4.09E-19,0.199621345,0.891,0.803,1.10E-14,red,0.390882,-0.578379,0.137797,0.26516
Sall1,Sall1.2,5.47E-41,-0.570235838,0.271,0.376,1.47E-36,blue,0.815588,-1.189528,5.684519,4.691567
Samhd1,Samhd1.1,4.51E-26,0.332774489,0.326,0.213,1.21E-21,red,0.193824,-0.838686,1.83212,1.305458
Samsn1,Samsn1,1.88E-46,0.437679023,0.522,0.342,5.04E-42,red,0.389706,0.283553,0.715428,0.544669
Sat1,Sat1.1,6.26E-67,0.53165085,0.616,0.392,1.68E-62,red,0.326471,0.197418,1.178919,0.84672
Scaf11,Scaf11,1.35E-42,0.126961797,0.434,0.314,3.64E-38,red,0.328235,0.125693,0.469776,0.417547
Scamp2,Scamp2.1,1.73E-48,-0.43817681,0.335,0.373,4.64E-44,blue,1.478529,-0.98273,8.408341,7.260182
Scfd1,Scfd1,1.91E-35,0.123260944,0.262,0.176,5.13E-31,red,0.094118,-1.935377,1.80374,1.282888
Scoc,Scoc.2,3.92E-44,-0.346607655,0.304,0.323,1.05E-39,blue,0.566471,-0.857843,4.01454,3.16125
