,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Elf2,1.34E-58,-0.13484795,0.286,0.185,3.35E-54
Gfm2,1.35E-58,-0.102348073,0.303,0.202,3.39E-54
Lrch1,1.38E-58,-0.065893728,0.685,0.522,3.46E-54
Apoe,1.85E-58,0.721584397,0.602,0.326,4.62E-54
Ncoa2,1.97E-58,-0.167864483,0.355,0.258,4.93E-54
Ints6l,2.00E-58,-0.112797803,0.435,0.314,5.01E-54
Hnrnpa3,2.05E-58,-0.018036034,0.276,0.166,5.13E-54
Zfp652,2.13E-58,-0.029936009,0.475,0.333,5.35E-54
Trim44,2.29E-58,0.090256024,0.316,0.178,5.73E-54
Cflar,2.58E-58,0.013506697,0.396,0.26,6.45E-54
Gm26904,2.86E-58,-0.096497739,0.321,0.21,7.16E-54
Gm2245,3.10E-58,0.168038039,0.574,0.371,7.75E-54
Rbm39,3.19E-58,0.215231948,0.739,0.517,7.99E-54
Il6ra,3.42E-58,-0.217028958,0.386,0.297,8.57E-54
Herc1,4.32E-58,0.083958512,0.358,0.215,1.08E-53
Kansl1,4.47E-58,0.074838599,0.652,0.466,1.12E-53
Ankfy1,4.71E-58,0.075021971,0.273,0.151,1.18E-53
Hps3,4.86E-58,-0.113057049,0.323,0.219,1.22E-53
Ctsa,5.23E-58,0.175789401,0.268,0.133,1.31E-53
Tcf4,5.34E-58,-0.014188064,0.608,0.442,1.34E-53
Huwe1,5.50E-58,0.052373551,0.326,0.195,1.38E-53
Taok3,5.75E-58,0.119696424,0.352,0.202,1.44E-53
Ppp1r9a,5.79E-58,-0.071667721,0.502,0.36,1.45E-53
Lamp2,6.32E-58,0.169489287,0.35,0.197,1.58E-53
Ube2h,6.34E-58,-0.026922467,0.345,0.218,1.59E-53
Sltm,6.55E-58,-0.011470994,0.461,0.319,1.64E-53
Tmem243,6.81E-58,-0.027880234,0.442,0.305,1.71E-53
Rabgap1,7.52E-58,0.052729767,0.305,0.181,1.88E-53
Ankrd17,8.05E-58,0.06379451,0.433,0.278,2.02E-53
Agps,8.79E-58,0.152381969,0.339,0.191,2.20E-53
Ranbp9,9.47E-58,0.005150303,0.275,0.157,2.37E-53
Pkn1,1.02E-57,0.023139599,0.282,0.166,2.57E-53
Gon4l,1.07E-57,0.196495059,0.281,0.139,2.69E-53
Arhgap39,1.17E-57,0.190264894,0.474,0.287,2.92E-53
Hck,1.26E-57,-0.015779568,0.343,0.217,3.14E-53
Ptpra,1.42E-57,0.011738176,0.389,0.251,3.54E-53
Gnb1,1.45E-57,0.147993717,0.333,0.186,3.62E-53
Basp1,1.50E-57,-0.055851966,0.43,0.297,3.77E-53
Capza2,1.66E-57,0.010233547,0.341,0.215,4.15E-53
Usp9x,1.74E-57,0.021855254,0.32,0.193,4.36E-53
Mycbp2,1.81E-57,-0.005161699,0.698,0.529,4.52E-53
Pik3r1,2.17E-57,-0.205479965,0.437,0.337,5.44E-53
Tab2,2.24E-57,-0.151872809,0.297,0.209,5.62E-53
Acin1,2.30E-57,0.022051988,0.318,0.194,5.75E-53
Tsc22d2,2.34E-57,0.081599907,0.261,0.134,5.85E-53
Tsc22d4,2.43E-57,-0.181291287,0.43,0.328,6.08E-53
Rbm25,2.73E-57,0.056906028,0.447,0.293,6.84E-53
Phc2,3.00E-57,0.039924882,0.316,0.185,7.51E-53
Mknk1,3.08E-57,0.055588217,0.307,0.182,7.70E-53
Wdr33,3.24E-57,0.025073083,0.333,0.201,8.11E-53
Eml4,4.53E-57,0.109204816,0.472,0.304,1.13E-52
Dip2b,4.90E-57,-0.187634178,0.659,0.542,1.23E-52
Usp15,5.18E-57,-0.002040026,0.301,0.182,1.30E-52
Rapgef1,5.27E-57,0.043919414,0.315,0.187,1.32E-52
Tbc1d9,5.71E-57,-0.156551988,0.36,0.26,1.43E-52
Smg6,6.21E-57,0.076585189,0.437,0.279,1.55E-52
Mark2,6.64E-57,-0.027778903,0.297,0.184,1.66E-52
Gm26542,7.40E-57,0.01055557,0.418,0.274,1.85E-52
Mllt10,7.41E-57,0.051398757,0.433,0.283,1.85E-52
Slc16a6,8.05E-57,0.024312844,0.267,0.154,2.02E-52
Tmem164,8.67E-57,-0.033190562,0.369,0.242,2.17E-52
Rap1gds1,8.81E-57,0.136732612,0.65,0.457,2.21E-52
F11r,9.51E-57,-0.038285346,0.314,0.2,2.38E-52
Ccnl1,1.03E-56,0.141222939,0.303,0.164,2.58E-52
Plgrkt,1.05E-56,0.151191707,0.328,0.185,2.62E-52
Ncor1,1.07E-56,0.010830072,0.396,0.257,2.67E-52
Gm37240,1.12E-56,0.133427145,0.569,0.379,2.81E-52
Slc11a1,1.23E-56,0.315827369,0.28,0.125,3.07E-52
Zcchc11,1.25E-56,-0.056082866,0.347,0.229,3.12E-52
Mbd5,1.47E-56,0.114291161,0.382,0.229,3.68E-52
Selplg,1.49E-56,-0.096709041,0.575,0.428,3.73E-52
Gna15,1.51E-56,0.133687954,0.305,0.172,3.77E-52
Dnajc7,1.72E-56,0.095831278,0.326,0.192,4.31E-52
Rnf13,1.72E-56,-0.032879016,0.358,0.23,4.31E-52
Mbtd1,1.94E-56,0.004139455,0.326,0.207,4.87E-52
Cnot2,2.57E-56,0.095848095,0.401,0.251,6.44E-52
Atp7a,2.58E-56,0.053250333,0.258,0.141,6.46E-52
Tcirg1,2.70E-56,0.196920466,0.255,0.117,6.75E-52
Crebbp,2.72E-56,0.027514458,0.436,0.292,6.81E-52
Map4k3,3.06E-56,0.052127747,0.288,0.165,7.66E-52
Usp24,3.34E-56,-0.219494416,0.297,0.221,8.35E-52
Clta,3.55E-56,0.150340431,0.307,0.169,8.89E-52
Ifngr2,3.63E-56,0.088084769,0.272,0.146,9.08E-52
Abr,4.19E-56,0.229231689,0.388,0.215,1.05E-51
Cd300c2,4.25E-56,0.00399735,0.258,0.149,1.07E-51
