X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,color,Unique_F_GDQvsSaline
Gm15539,4.180278511,0.160740745,0.074545237,2.14403297,0.032030245,NA,red,Gm15539
Zfp426,342.5488237,0.160284703,0.058802315,2.726295309,0.006404967,0.590364336,red,Zfp426
Fam69b,602.7380879,0.160007555,0.072612705,2.200100477,0.027799767,0.717843203,red,Fam69b
Hint2,336.7598158,0.159145586,0.076182977,2.082609832,0.037286802,0.73082813,red,Hint2
Ifnar2,207.1047743,0.15877206,0.077052814,2.057315042,0.039655931,0.73082813,red,Ifnar2
Gm36500,5.031904408,0.158565415,0.07861722,2.04669863,0.040687684,NA,red,Gm36500
Tpst1,566.1650944,0.157768274,0.079366353,1.984646867,0.047183774,0.744195683,red,Tpst1
Apmap,746.8405532,0.157515171,0.074898598,2.103054951,0.035460966,0.73082813,red,Apmap
Rrp1,3034.429137,0.156905517,0.078112478,2.006266183,0.044827856,0.738807193,red,Rrp1
Tfpt,292.2294147,0.156867123,0.068607144,2.281919442,0.022494097,0.707547848,red,Tfpt
Wdr35,521.7210491,0.15685822,0.067038967,2.339026712,0.019334051,0.707547848,red,Wdr35
Glmn,141.9616385,0.156742648,0.078913408,1.996085613,0.045924605,0.744195683,red,Glmn
Ccdc12,342.5213873,0.15500993,0.070623059,2.19182095,0.028392438,0.717843203,red,Ccdc12
Pde12,227.0583783,0.154044051,0.072126685,2.124089999,0.033662619,0.73082813,red,Pde12
Fads3,437.8363577,0.154018902,0.071971492,2.135494759,0.032720618,0.73082813,red,Fads3
Ptcd2,355.0173143,0.15396345,0.065896878,2.330848276,0.019761361,0.707547848,red,Ptcd2
Ppp1r1c,2.088244084,0.153746532,0.059521668,2.310003553,0.020887957,NA,red,Ppp1r1c
AW209491,383.6116774,0.153565832,0.075460696,2.03083784,0.042271447,0.73082813,red,AW209491
Tceal3,1281.512085,0.153432835,0.077741125,1.969731565,0.048869143,0.744195683,red,Tceal3
Lactb,211.1045198,0.152977913,0.065216204,2.344869112,0.01903376,0.707547848,red,Lactb
Snapc2,296.1777251,0.152945897,0.067044319,2.276407442,0.022821635,0.707547848,red,Snapc2
