X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,color,Unique_M_GDQvsSaline
Rab39,27.30848436,-0.250534893,0.103677567,-2.429358068,0.015125586,0.182614048,blue,Rab39
Cdkl5,1554.212446,-0.250539046,0.069922285,-3.582581324,0.000340216,0.034037537,blue,Cdkl5
Scn3b,2476.079361,-0.250570575,0.091146902,-2.748911216,0.005979358,0.124066263,blue,Scn3b
Matn2,661.4188454,-0.250572873,0.081043505,-3.093849968,0.001975774,0.078617755,blue,Matn2
Syp,9455.52165,-0.25082437,0.089456996,-2.80782721,0.004987698,0.114437196,blue,Syp
Sez6,1742.223523,-0.25084225,0.087438722,-2.86759545,0.00413604,0.108691745,blue,Sez6
Pcdhb9,297.1050583,-0.250897861,0.094435388,-2.657249986,0.0078781,0.137875026,blue,Pcdhb9
Trpc6,265.064352,-0.251101533,0.094130654,-2.68487669,0.007255657,0.134467743,blue,Trpc6
Madd,2376.371989,-0.251326402,0.067326411,-3.733222264,0.000189046,0.025069499,blue,Madd
Bcl11a,858.4207147,-0.251442378,0.080948578,-3.105115282,0.001902049,0.077292767,blue,Bcl11a
Serpinf2,16.22286087,-0.251566488,0.101829943,-2.40836073,0.016024339,0.186258825,blue,Serpinf2
Spon1,1151.727197,-0.2523218,0.084384611,-2.985571409,0.00283049,0.09356905,blue,Spon1
Nexmif,550.0110936,-0.252348022,0.078353814,-3.217812836,0.001291721,0.064170445,blue,Nexmif
Cd109,91.87498894,-0.252369764,0.100020439,-2.520742455,0.011710753,0.162865488,blue,Cd109
Atad2,88.54852968,-0.252651708,0.099102985,-2.561611755,0.010418772,0.155761296,blue,Atad2
Olfr550,17.22166935,-0.252747227,0.102784092,-2.462841656,0.013784078,0.176961615,blue,Olfr550
Pnma2,836.0707665,-0.25288805,0.08592639,-2.94847557,0.003193454,0.099488992,blue,Pnma2
Syngr3,1904.484893,-0.253365846,0.085831876,-2.953316192,0.003143798,0.098709874,blue,Syngr3
Akap5,559.6476245,-0.253470398,0.077199143,-3.283991177,0.001023481,0.057414887,blue,Akap5
Gm9761,73.68067627,-0.25356647,0.09843937,-2.569525702,0.010183784,0.15443414,blue,Gm9761
Rem2,162.255733,-0.253576864,0.1023671,-2.493701176,0.012641892,0.170272083,blue,Rem2
Mfsd9,31.23901889,-0.253776879,0.103659715,-2.417196509,0.015640571,0.184528225,blue,Mfsd9
D430041D05Rik,1187.638095,-0.25393846,0.072396183,-3.506059676,0.000454793,0.038463504,blue,D430041D05Rik
Rasd1,315.5467304,-0.25399866,0.096344524,-2.649466791,0.008061889,0.13904673,blue,Rasd1
Mfsd13b,19.65917352,-0.254117784,0.101903737,-2.443267024,0.014554964,0.180431734,blue,Mfsd13b
Rngtt,394.9764246,-0.254329763,0.076215116,-3.338965398,0.00084091,0.053271513,blue,Rngtt
Neto2,546.8461511,-0.254388542,0.076474652,-3.321850894,0.000894225,0.05467325,blue,Neto2
Ptprj,1167.341198,-0.254435608,0.081434523,-3.124654277,0.001780141,0.075085916,blue,Ptprj
