,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Gm8894,3.768674172,-0.118168841,0.174786791,-0.754162599,0.450751593,NA
Elovl1,184.3406858,-0.118166052,0.110063189,-1.042972939,0.296960826,0.543862541
Clcnka,4.693933112,-0.118124099,0.148556405,-0.569198638,0.569221345,NA
Gm5936,2.824737834,-0.118121021,0.161814764,-0.700135463,0.483842711,NA
Ppm1j,2.421992186,-0.11807501,0.137043614,-0.881134471,0.378245041,NA
Ogfr,563.7807171,-0.118053453,0.078262212,-1.504066552,0.132564231,0.37085284
Nbn,213.0010056,-0.118023067,0.113933114,-1.020842894,0.307328879,0.552285429
Rimbp2,1810.314163,-0.118012641,0.138709607,-0.784227922,0.432906384,0.661285685
Abcc2,1.868401174,-0.118000567,0.130903223,-0.840108038,0.400847813,NA
P2ry1,34.5314671,-0.117968754,0.185175514,-0.604716545,0.545367353,0.739682694
Ccdc28b,180.2469897,-0.117967909,0.135041381,-0.84972275,0.395479247,0.629161738
Clk1,930.4367884,-0.117944175,0.139288863,-0.859434499,0.390100843,0.624861165
Catspere2,40.43362753,-0.117890361,0.175618424,-0.630237299,0.528539339,0.727915757
Tmem97,160.7011065,-0.117872529,0.131624351,-0.878271323,0.379796494,0.616312578
Mrps26,780.5314484,-0.117867184,0.101118326,-1.164972584,0.24403009,0.492503165
Gen1,19.25263217,-0.117842047,0.191646913,-0.713199284,0.475722449,NA
Sgf29,96.81217013,-0.117833371,0.135129375,-0.825044988,0.40934605,0.641201532
Fgf12,1324.099948,-0.117807966,0.101329555,-1.13316738,0.25714397,0.506489452
D830030K20Rik,14.11350905,-0.117800147,0.195228729,-0.465554712,0.641534266,NA
Nabp2,648.9624788,-0.117663485,0.075010263,-1.552802654,0.120470288,0.356359041
Ajuba,41.16634217,-0.117661547,0.192488422,-0.705071368,0.480765824,0.695508835
Gm12258,252.3146886,-0.117602111,0.110597948,-1.061001843,0.288689064,0.536173201
Sec1,23.42135915,-0.117583149,0.189492199,-0.517713195,0.604658391,0.779714743
Gm27197,10.81253671,-0.117564873,0.194960664,-0.775903129,0.437806185,NA
Alg1,325.5605288,-0.117519411,0.125652955,-0.943033328,0.345663856,0.587516974
Gm48014,1.214404034,-0.117482672,0.105261122,-1.06470549,0.287009225,NA
Rtn4ip1,174.5920202,-0.11747138,0.132752005,-0.833029876,0.40482788,0.637647162
Bag3,187.0297329,-0.117450137,0.112233867,-1.116378981,0.264259947,0.514049927
Gm17135,0.899184048,-0.11739999,0.094341899,-1.09657099,0.272828975,NA
Gm26628,7.018635077,-0.117391362,0.174654614,-0.577422678,0.563653958,NA
Cpsf6,1095.477028,-0.117388515,0.096232647,-1.207763202,0.22713836,0.474602281
Nectin4,97.36193045,-0.117372493,0.154880093,-0.655502517,0.512144267,0.716302336
Tnip2,225.8265393,-0.117341813,0.128385402,-0.890167185,0.373376122,0.610884937
Tsen34,1261.688424,-0.117301446,0.076395814,-1.541296801,0.123244567,0.360228916
Polrmt,440.7710153,-0.117286855,0.134673586,-0.846261769,0.39740673,0.630742537
Eppk1,8.841722814,-0.1172466,0.173647268,-0.739174871,0.459800818,NA
Pxdc1,132.0234748,-0.117106242,0.131967498,-0.888400508,0.374325352,0.61170373
Gm26803,8.702160721,-0.117105304,0.194006955,-0.731877108,0.46424358,NA
Calcoco2,1.020159371,-0.117085369,0.10758247,-1.057195086,0.290422562,NA
Spag6l,123.9694167,-0.117034101,0.173539028,-0.706740617,0.479727684,0.694552219
Asph,1808.443704,-0.116957126,0.088524129,-1.310214623,0.19012324,0.435326737
A2m,162.9551261,-0.116952036,0.191250473,-0.620659696,0.534823553,0.732272248
Cfap45,58.11684397,-0.116928479,0.179832204,-0.684852524,0.493436988,0.70314763
Usp33,773.5291029,-0.116895919,0.158222723,-0.689649891,0.490414385,0.701686653
Csmd2,645.6109174,-0.11678504,0.126829295,-0.858487429,0.390623369,0.625294281
St13,2138.275795,-0.116778385,0.087724535,-1.32021611,0.186762875,0.4321163
