X,baseMean.x,log2FoldChange.x,lfcSE.x,stat.x,pvalue.x,padj.x,baseMean.y,log2FoldChange.y,lfcSE.y,stat.y,pvalue.y,padj.y
Btbd10,666.0422233,0.307302576,0.146054137,2.064185555,0.039000127,0.383669936,666.0422233,-0.30599082,0.142682222,-2.093163921,0.036334524,0.215912894
Btbd3,6382.224962,-0.476832663,0.156034011,-3.008018092,0.002629575,0.128704685,6382.224962,0.419090681,0.152503981,2.684068842,0.007273213,0.12656743
Bub3,904.1328439,0.215470265,0.106858561,1.99658133,0.045870683,0.403372203,904.1328439,-0.223205487,0.104020711,-2.119830591,0.034020335,0.21074697
Bysl,383.5145903,0.328508183,0.159220684,2.031944891,0.042159235,0.39314784,383.5145903,-0.373606623,0.155838283,-2.35262981,0.018641182,0.170698158
C030018K13Rik,70.70360566,-0.564736366,0.195821598,-2.791620359,0.005244485,0.175301581,70.70360566,0.527998926,0.194777529,2.403727304,0.016228874,0.164465896
C1qtnf12,170.2012496,0.301342529,0.137008179,2.164793462,0.030403506,0.346779038,170.2012496,-0.312189959,0.134076043,-2.291027037,0.02196185,0.180814012
C1ra,23.46359804,0.466427595,0.190238781,2.289131906,0.022071689,0.308950528,23.46359804,-0.39924403,0.189959578,-1.994419996,0.046106175,0.234232715
Cabcoco1,34.08842572,0.496288074,0.191004941,2.771874937,0.005573445,0.179235537,34.08842572,-0.401184595,0.188017265,-2.22820931,0.025866561,0.191153234
Camp,7.36824316,-0.399305707,0.161272091,-2.805371055,0.005025869,0.17219399,7.36824316,0.664925978,0.166532623,3.115386939,0.001837038,NA
Capns1,2219.021761,0.278961411,0.095865869,2.891286281,0.003836684,0.151125901,2219.021761,-0.200365111,0.093160603,-2.128047918,0.033333111,0.208974136
Car13,38.13017074,-0.428954941,0.195861084,-2.138486965,0.032477241,0.35716946,38.13017074,0.516765157,0.194735176,2.576160371,0.00999043,0.137845305
Carmil1,407.9817443,-0.303497619,0.139478935,-2.143757368,0.032052333,0.354498161,407.9817443,0.393936808,0.136050435,2.839639933,0.004516448,0.108623156
Caskin2,503.3884416,-0.274677121,0.126372369,-2.171037761,0.029928318,0.344891924,503.3884416,0.322266261,0.12347957,2.600800354,0.009300656,0.135493652
Cbll1,204.4706923,0.294730006,0.14260833,2.036406322,0.041709571,0.39275778,204.4706923,-0.357249907,0.139407801,-2.525963439,0.011538149,0.145091307
Ccdc181,281.4307271,0.239919639,0.118355059,2.03709151,0.041640873,0.392474696,281.4307271,-0.235092432,0.114497937,-2.065144621,0.038909319,0.221568205
Ccdc71l,617.44207,-0.203151335,0.099625628,-2.034878964,0.041863053,0.39314784,617.44207,-0.209155251,0.096899279,-2.153021296,0.031317005,0.205659957
Ccser2,1834.192276,-0.187444639,0.084774059,-2.203679587,0.027546886,0.334315611,1834.192276,0.226793891,0.082394128,2.739636695,0.006150713,0.118846611
Cct7,2588.361724,0.218789864,0.101214693,2.158007301,0.030927264,0.349273742,2588.361724,-0.334917886,0.098283238,-3.396936019,0.000681449,0.05303587
Cd200,999.7167069,0.256945076,0.128139077,1.999573059,0.045546385,0.402437916,999.7167069,-0.247051415,0.124733161,-1.970569909,0.048773091,0.240134438
Cd209f,7.558418188,-0.586135636,0.185954109,-3.074581057,0.002107984,0.114312555,7.558418188,0.461030025,0.185292656,2.592384455,0.009531319,NA
Cd36,16.73187257,0.492150411,0.194941332,2.368937735,0.017839256,0.286472666,16.73187257,0.480810646,0.19409873,2.574019027,0.010052474,NA
Cdc42bpb,2411.865326,-0.303285567,0.109880087,-2.753653823,0.005893407,0.184528886,2411.865326,0.320110148,0.106916102,2.982737513,0.002856829,0.093804517
Cdk19,1308.305245,-0.238911779,0.110630808,-2.162155774,0.030606171,0.347754812,1308.305245,0.459986218,0.107874593,4.257280066,2.07E-05,0.006933535
Cdk2ap2,248.2587829,0.29979988,0.104963804,2.825925383,0.004714424,0.167485797,248.2587829,-0.252166929,0.102771533,-2.424338768,0.015336292,0.161964863
Cdk9,1183.667588,0.222910894,0.097309803,2.27931259,0.02264849,0.310683773,1183.667588,-0.189395225,0.094569648,-1.988295842,0.04677898,0.236428697
Cdkn1a,95.73061469,0.476565142,0.170645425,2.885090356,0.003913013,0.152214512,95.73061469,-0.818030867,0.165736244,-4.965513239,6.85E-07,0.000583079
Cdkn2aip,202.5182795,0.253482896,0.111342552,2.274846741,0.022915125,0.312653735,202.5182795,-0.211149436,0.10773457,-1.961977057,0.049765155,0.242254636
Cdr2l,417.4093248,0.285771931,0.131601475,2.162757135,0.030559864,0.347672119,417.4093248,-0.271132456,0.12813235,-2.103721418,0.035402755,0.213710826
Celsr1,273.3791688,-0.663317138,0.177925321,-3.693977492,0.000220773,0.032506595,273.3791688,0.535961719,0.17497055,3.053326472,0.002263196,0.085679519
Cend1,2966.2758,0.280720662,0.131505531,2.093656635,0.036290579,0.373755026,2966.2758,-0.322633202,0.128141551,-2.462102189,0.013812531,0.153676465
