,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Gm5083,10.87003594,-0.27008406,0.174567216,-1.518746507,0.128826315,0.560647515
Upk1b,22.27889284,-0.270015427,0.190475283,-1.406780811,0.159492394,0.601497628
Catspere2,40.43362753,-0.2699712,0.177476518,-1.538696611,0.12387838,0.554805737
Gm43460,19.88815044,-0.269892526,0.194829345,-1.370288778,0.170596775,0.613762548
Cul9,1677.468801,-0.269881231,0.125125834,-2.149030924,0.031631949,0.352221748
Abcd2,669.2478022,-0.26980618,0.140912113,-1.883767625,0.059596415,0.442588462
Gpt,276.7195944,-0.269770763,0.156906287,-1.696742963,0.089745266,0.500981394
Arhgef28,1087.884606,-0.269506014,0.099586678,-2.705896189,0.006812034,0.193659775
Dera,54.62723725,-0.269341204,0.182838098,-1.449158239,0.147293397,0.588249083
Greb1,8.713459126,-0.269280247,0.187894856,-1.3920412,0.163909922,0.606236135
Crip1,47.96940801,-0.269253291,0.193273687,-1.323287586,0.185739758,0.626375077
Ugt1a6a,1.480414284,-0.269207407,0.118600819,-1.99226505,0.046341984,NA
Sptbn2,30708.24984,-0.269159556,0.18318288,-1.432659156,0.151955267,0.593089933
Sln,16.18642686,-0.269122831,0.182622242,-1.382370697,0.166857909,0.609971264
Tal1,27.63793689,-0.269114134,0.193975395,-1.357168137,0.174727792,0.619501414
Fbxo47,11.92714468,-0.269063071,0.192773366,-1.386987078,0.165445703,0.6078451
Baz1a,31.43330829,-0.269013521,0.193753026,-1.250271637,0.211200336,0.65203689
mt-Tt,6.19369587,-0.268953692,0.17773286,-1.448432947,0.147496006,0.588421722
Zfp715,434.416989,-0.268836073,0.124267123,-2.113602276,0.034549251,0.367699797
S100a7a,4.773198775,-0.268768506,0.173159402,-1.482616976,0.138176204,NA
Mcm3,65.22594971,-0.268755788,0.185461213,-1.447687114,0.147704575,0.588905015
