"","Genotype","Sample","Cytokine","Treatment","Concentration","Avg.Cupri.Neg.All","PureFoldChange","log2transform"
"401","XYT",186,"IL-15","Cuprizone",32.32,45.90052632,0.704131359511609,-0.506083498357666
"402","XYT",187,"IL-15","Cuprizone",24.88,45.90052632,0.54204171487156,-0.883524210978858
"403","XYT",183,"IL-15","Cuprizone",29.4,45.90052632,0.640515531238902,-0.642694541385734
"404","XYT",180,"IL-15","Cuprizone",29.4,45.90052632,0.640515531238902,-0.642694541385734
"424","XXO",202,"IL-17a","Cuprizone",9.88,16.23842105,0.608433539786801,-0.716828411334511
"425","XXO",203,"IL-17a","Cuprizone",13.51,16.23842105,0.831977441550575,-0.265383683593504
"426","XXO",204,"IL-17a","Cuprizone",7.41,16.23842105,0.456325154840101,-1.13186591061336
"427","XXO",164,"IL-17a","Cuprizone",18.66,16.23842105,1.14912650328155,0.20053762793257
"428","XYO",176,"IL-17a","Cuprizone",6.87,16.23842105,0.423070690114911,-1.24102935410109
"429","XYO",179,"IL-17a","Cuprizone",10.57,16.23842105,0.650925355824543,-0.619435981536506
"430","XYO",185,"IL-17a","Cuprizone",7.41,16.23842105,0.456325154840101,-1.13186591061336
"431","XYO",177,"IL-17a","Cuprizone",6.73,16.23842105,0.414449162223195,-1.27073294830887
"432","XXT",178,"IL-17a","Cuprizone",13.79,16.23842105,0.849220497334007,-0.235788901405209
"433","XXT",193,"IL-17a","Cuprizone",9.74,16.23842105,0.599812011895085,-0.737417680836847
"434","XXT",184,"IL-17a","Cuprizone",10.85,16.23842105,0.668168411607975,-0.581716315587347
"435","XXT",175,"IL-17a","Cuprizone",5.67,16.23842105,0.34917187961449,-1.51799071797696
"436","XXT",181,"IL-17a","Cuprizone",8.91,16.23842105,0.548698667965627,-0.865914021397267
"437","XXT",182,"IL-17a","Cuprizone",7.13,16.23842105,0.439082099056669,-1.1874373764753
"438","XYT",186,"IL-17a","Cuprizone",6.53,16.23842105,0.402132693806458,-1.31425646137276
"439","XYT",187,"IL-17a","Cuprizone",8.64,16.23842105,0.532071435603032,-0.91030814075572
"440","XYT",183,"IL-17a","Cuprizone",6.2,16.23842105,0.381810520918843,-1.38907123764495
"441","XYT",180,"IL-17a","Cuprizone",7.95,16.23842105,0.48957961956529,-1.03038459274747
"461","XXO",202,"IP-10","Cuprizone",148.4,40.83631579,3.63402028633396,1.86156647320761
"462","XXO",203,"IP-10","Cuprizone",190.33,40.83631579,4.66080243327455,2.22057835978181
"463","XXO",204,"IP-10","Cuprizone",258.02,40.83631579,6.31839564878632,2.65955827938777
"464","XXO",164,"IP-10","Cuprizone",241.99,40.83631579,5.92585289144175,2.56702281201945
"465","XYO",176,"IP-10","Cuprizone",235.44,40.83631579,5.76545644349372,2.52743482863984
"466","XYO",179,"IP-10","Cuprizone",198.55,40.83631579,4.8620938534475,2.28157774211128
