"","Gene","G","Symbol","Name","Chr","Qualifier","Annotated.Term","Context","Proteoform","Evidence","Inferred.From","Reference.s."
"132","Rps15a","MGI:2389091","Rps15a","ribosomal protein S15A","7","","cytosolic small ribosomal subunit","",NA,"ISO","RGD:619939 ","J:155856 "
"133","Rps15a","MGI:2389091","Rps15a","ribosomal protein S15A","7","","cytosolic small ribosomal subunit","",NA,"ISO","P62244 ","J:164563 "
"134","Rps15a","MGI:2389091","Rps15a","ribosomal protein S15A","7","","cytosolic small ribosomal subunit","",NA,"NAS","","J:314083 "
"135","Rps11","MGI:1351329","Rps11","ribosomal protein S11","7","","cytosolic ribosome","",NA,"ISO","P62280 ","J:164563 "
"136","Rps11","MGI:1351329","Rps11","ribosomal protein S11","7","","cytosolic small ribosomal subunit","",NA,"IBA","PTN000078534 ","J:265628 "
"137","Rps11","MGI:1351329","Rps11","ribosomal protein S11","7","","cytosolic small ribosomal subunit","",NA,"IDA","","J:333015 "
"138","Rps11","MGI:1351329","Rps11","ribosomal protein S11","7","","cytosolic small ribosomal subunit","",NA,"ISO","RGD:621026 ","J:155856 "
"139","Rps11","MGI:1351329","Rps11","ribosomal protein S11","7","","cytosolic small ribosomal subunit","",NA,"ISO","P62280 ","J:164563 "
"140","Rps11","MGI:1351329","Rps11","ribosomal protein S11","7","","cytosolic small ribosomal subunit","",NA,"NAS","","J:314083 "
"141","Rps16","MGI:98118","Rps16","ribosomal protein S16","7","","cytosolic ribosome","",NA,"ISO","P62249 ","J:164563 "
"142","Rps16","MGI:98118","Rps16","ribosomal protein S16","7","","cytosolic small ribosomal subunit","",NA,"IBA","PTN000490831 ","J:265628 "
"143","Rps16","MGI:98118","Rps16","ribosomal protein S16","7","","cytosolic small ribosomal subunit","",NA,"IDA","","J:333015 "
"144","Rps16","MGI:98118","Rps16","ribosomal protein S16","7","","cytosolic small ribosomal subunit","",NA,"ISO","RGD:621031 ","J:155856 "
"145","Rps16","MGI:98118","Rps16","ribosomal protein S16","7","","cytosolic small ribosomal subunit","",NA,"ISO","P62249 ","J:164563 "
"146","Rps16","MGI:98118","Rps16","ribosomal protein S16","7","","cytosolic small ribosomal subunit","",NA,"NAS","","J:314083 "
"147","Rpl36a","MGI:1201789","Rpl36a","ribosomal protein L36A","X","","cytosolic large ribosomal subunit","",NA,"IBA","PTN000042522 ","J:265628 "
"148","Rpl36a","MGI:1201789","Rpl36a","ribosomal protein L36A","X","","cytosolic large ribosomal subunit","",NA,"IDA","","J:333015 "
"149","Rpl36a","MGI:1201789","Rpl36a","ribosomal protein L36A","X","","cytosolic large ribosomal subunit","",NA,"IPI","","J:314083 "
"150","Rpl36a","MGI:1201789","Rpl36a","ribosomal protein L36A","X","","cytosolic large ribosomal subunit","",NA,"ISO","RGD:1306640 ","J:155856 "
"151","Rpl36a","MGI:1201789","Rpl36a","ribosomal protein L36A","X","","cytosolic large ribosomal subunit","",NA,"ISO","P83881 ","J:164563 "
"152","Rpl36a","MGI:1201789","Rpl36a","ribosomal protein L36A","X","","cytosolic ribosome","",NA,"ISO","P83881 ","J:164563 "
"153","Rpl27a","MGI:1347076","Rpl27a","ribosomal protein L27A","7","","cytosolic large ribosomal subunit","",NA,"IBA","PTN000197373 ","J:265628 "
"154","Rpl27a","MGI:1347076","Rpl27a","ribosomal protein L27A","7","","cytosolic large ribosomal subunit","",NA,"IDA","","J:333015 "
"155","Rpl27a","MGI:1347076","Rpl27a","ribosomal protein L27A","7","","cytosolic large ribosomal subunit","",NA,"IPI","","J:314083 "
"156","Rpl27a","MGI:1347076","Rpl27a","ribosomal protein L27A","7","","cytosolic large ribosomal subunit","",NA,"ISO","RGD:1309771 ","J:155856 "
"157","Rpl27a","MGI:1347076","Rpl27a","ribosomal protein L27A","7","","cytosolic large ribosomal subunit","",NA,"ISO","P46776 ","J:164563 "
"158","Rpl27a","MGI:1347076","Rpl27a","ribosomal protein L27A","7","","cytosolic ribosome","",NA,"IGI","S000006437 ","J:137257 "
"159","Rpl27a","MGI:1347076","Rpl27a","ribosomal protein L27A","7","","cytosolic ribosome","",NA,"ISO","P46776 ","J:164563 "
"160","Rpl39","MGI:1914498","Rpl39","ribosomal protein L39","X","","cytosolic large ribosomal subunit","",NA,"IBA","PTN000463054 ","J:265628 "
"161","Rpl39","MGI:1914498","Rpl39","ribosomal protein L39","X","","cytosolic large ribosomal subunit","",NA,"IDA","","J:333015 "
"162","Rpl39","MGI:1914498","Rpl39","ribosomal protein L39","X","","cytosolic large ribosomal subunit","",NA,"IPI","","J:314083 "
"163","Rpl39","MGI:1914498","Rpl39","ribosomal protein L39","X","","cytosolic large ribosomal subunit","",NA,"ISO","RGD:3593 ","J:155856 "
"164","Rpl39","MGI:1914498","Rpl39","ribosomal protein L39","X","","cytosolic large ribosomal subunit","",NA,"ISO","P62891 ","J:164563 "
"165","Rpl39","MGI:1914498","Rpl39","ribosomal protein L39","X","","cytosolic ribosome","",NA,"ISO","P62891 ","J:164563 "
"166","Rpl36","MGI:1860603","Rpl36","ribosomal protein L36","17","","cytosolic large ribosomal subunit","",NA,"IBA","PTN000012121 ","J:265628 "
"167","Rpl36","MGI:1860603","Rpl36","ribosomal protein L36","17","","cytosolic large ribosomal subunit","",NA,"IDA","","J:333015 "
"168","Rpl36","MGI:1860603","Rpl36","ribosomal protein L36","17","","cytosolic large ribosomal subunit","",NA,"IPI","","J:314083 "
"169","Rpl36","MGI:1860603","Rpl36","ribosomal protein L36","17","","cytosolic large ribosomal subunit","",NA,"ISO","RGD:62085 ","J:155856 "
"170","Rpl36","MGI:1860603","Rpl36","ribosomal protein L36","17","","cytosolic large ribosomal subunit","",NA,"ISO","Q9Y3U8 ","J:164563 "
"171","Rpl36","MGI:1860603","Rpl36","ribosomal protein L36","17","","cytosolic ribosome","",NA,"ISO","Q9Y3U8 ","J:164563 "
"172","Rpl34","MGI:1915686","Rpl34","ribosomal protein L34","3","","cytosolic large ribosomal subunit","",NA,"IBA","PTN000079604 ","J:265628 "
"173","Rpl34","MGI:1915686","Rpl34","ribosomal protein L34","3","","cytosolic large ribosomal subunit","",NA,"IDA","","J:333015 "
"174","Rpl34","MGI:1915686","Rpl34","ribosomal protein L34","3","","cytosolic large ribosomal subunit","",NA,"IPI","","J:314083 "
"175","Rpl34","MGI:1915686","Rpl34","ribosomal protein L34","3","","cytosolic large ribosomal subunit","",NA,"ISO","RGD:1309402 ","J:155856 "
"176","Rpl34","MGI:1915686","Rpl34","ribosomal protein L34","3","","cytosolic large ribosomal subunit","",NA,"ISO","P49207 ","J:164563 "
"177","Rpl34","MGI:1915686","Rpl34","ribosomal protein L34","3","","cytosolic ribosome","",NA,"ISO","P49207 ","J:164563 "
"178","Rps23","MGI:1913725","Rps23","ribosomal protein S23","13","","cytosolic ribosome","",NA,"ISO","P62266 ","J:164563 "
"179","Rps23","MGI:1913725","Rps23","ribosomal protein S23","13","","cytosolic small ribosomal subunit","",NA,"IBA","PTN000183001 ","J:265628 "
"180","Rps23","MGI:1913725","Rps23","ribosomal protein S23","13","","cytosolic small ribosomal subunit","",NA,"IDA","","J:333015 "
"181","Rps23","MGI:1913725","Rps23","ribosomal protein S23","13","","cytosolic small ribosomal subunit","",NA,"ISO","RGD:621039 ","J:155856 "
"182","Rps23","MGI:1913725","Rps23","ribosomal protein S23","13","","cytosolic small ribosomal subunit","",NA,"ISO","P62266 ","J:164563 "
"183","Rps23","MGI:1913725","Rps23","ribosomal protein S23","13","","cytosolic small ribosomal subunit","",NA,"NAS","","J:314083 "
"184","Rplp2","MGI:1914436","Rplp2","ribosomal protein, large P2","7","","cytosolic large ribosomal subunit","",NA,"IPI","","J:314083 "
"185","Rplp2","MGI:1914436","Rplp2","ribosomal protein, large P2","7","","cytosolic large ribosomal subunit","",NA,"ISO","RGD:621775 ","J:155856 "
"186","Rplp2","MGI:1914436","Rplp2","ribosomal protein, large P2","7","","cytosolic large ribosomal subunit","",NA,"ISO","P05387 ","J:164563 "
"187","Rps14","MGI:98107","Rps14","ribosomal protein S14","18","","cytosolic ribosome","",NA,"ISO","P62263 ","J:164563 "
"188","Rps14","MGI:98107","Rps14","ribosomal protein S14","18","","cytosolic small ribosomal subunit","",NA,"IBA","PTN000204886 ","J:265628 "
"189","Rps14","MGI:98107","Rps14","ribosomal protein S14","18","","cytosolic small ribosomal subunit","",NA,"IDA","","J:333015 "
"190","Rps14","MGI:98107","Rps14","ribosomal protein S14","18","","cytosolic small ribosomal subunit","",NA,"ISO","RGD:62025 ","J:155856 "
"191","Rps14","MGI:98107","Rps14","ribosomal protein S14","18","","cytosolic small ribosomal subunit","",NA,"ISO","P62263 ","J:164563 "
