G,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:1914365,Rpl14,ribosomal protein L14,9,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:1914365,Rpl14,ribosomal protein L14,9,,cytosolic large ribosomal subunit,,,ISO,RGD:621180 ,J:155856 
MGI:1914365,Rpl14,ribosomal protein L14,9,,cytosolic large ribosomal subunit,,,ISO,P50914 ,J:164563 
MGI:1914365,Rpl14,ribosomal protein L14,9,,cytosolic ribosome,,,ISO,P50914 ,J:164563 
MGI:1913730,Rpl15,ribosomal protein L15,14,,cytosolic large ribosomal subunit,,,IBA,PTN000217960 ,J:265628 
MGI:1913730,Rpl15,ribosomal protein L15,14,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:1913730,Rpl15,ribosomal protein L15,14,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:1913730,Rpl15,ribosomal protein L15,14,,cytosolic large ribosomal subunit,,,ISO,RGD:621181 ,J:155856 
MGI:1913730,Rpl15,ribosomal protein L15,14,,cytosolic large ribosomal subunit,,,ISO,P61313 ,J:164563 
MGI:1913730,Rpl15,ribosomal protein L15,14,,cytosolic ribosome,,,ISO,P61313 ,J:164563 
MGI:2448270,Rpl17,ribosomal protein L17,18,,cytosolic large ribosomal subunit,,,IBA,PTN000174131 ,J:265628 
MGI:2448270,Rpl17,ribosomal protein L17,18,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:2448270,Rpl17,ribosomal protein L17,18,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:2448270,Rpl17,ribosomal protein L17,18,,cytosolic large ribosomal subunit,,,ISO,RGD:1303019 ,J:155856 
MGI:2448270,Rpl17,ribosomal protein L17,18,,cytosolic large ribosomal subunit,,,ISO,P18621 ,J:164563 
MGI:2448270,Rpl17,ribosomal protein L17,18,,cytosolic ribosome,,,ISO,P18621 ,J:164563 
MGI:3802129,Rpl17-ps8,"ribosomal protein L17, pseudogene 8",X,,cytosolic large ribosomal subunit,,,ISO,P18621 ,J:164563 
MGI:3802129,Rpl17-ps8,"ribosomal protein L17, pseudogene 8",X,,cytosolic ribosome,,,ISO,P18621 ,J:164563 
MGI:98003,Rpl18,ribosomal protein L18,7,,cytosolic large ribosomal subunit,,,IBA,PTN000859219 ,J:265628 
MGI:98003,Rpl18,ribosomal protein L18,7,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:98003,Rpl18,ribosomal protein L18,7,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:98003,Rpl18,ribosomal protein L18,7,,cytosolic large ribosomal subunit,,,ISO,RGD:621182 ,J:155856 
MGI:98003,Rpl18,ribosomal protein L18,7,,cytosolic large ribosomal subunit,,,ISO,Q07020 ,J:164563 
MGI:98003,Rpl18,ribosomal protein L18,7,,cytosolic ribosome,,,ISO,Q07020 ,J:164563 
