"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","color"
"199","Rpl14",1.23643881394498e-17,-0.265104573807903,0.993,1,2.41241576988804e-13,"blue"
"200","Rpl15",8.22578548931588e-17,-0.295311911379819,0.934,0.98,1.60493300682042e-12,"blue"
"201","Rpl17",3.57619107393534e-33,-0.40738742136659,0.991,1,6.97750640435525e-29,"blue"
"202","Rpl18",6.31166958914452e-24,-0.368087512039172,0.941,0.967,1.23146985353799e-19,"blue"
"203","Rpl18a",1.41958286715817e-22,-0.317427141444395,0.988,0.997,2.76974813211231e-18,"blue"
"204","Rpl19",4.97183838736516e-33,-0.345146771378234,0.997,0.999,9.70055387758816e-29,"blue"
"205","Rpl21",2.86537390182422e-56,-0.455113733975952,1,1,5.59063101984923e-52,"blue"
"206","Rpl22",4.58296498395966e-19,-0.368592651471121,0.756,0.86,8.9418229802037e-15,"blue"
"207","Rpl22l1",3.99287775257763e-34,-0.504682552635434,0.941,0.976,7.79050378305422e-30,"blue"
"208","Rpl23",8.83179759566538e-56,-0.526629287561459,0.995,1,1.72317202889027e-51,"blue"
"209","Rpl23a",4.8031304771529e-10,-0.207871444258727,0.972,0.969,9.37138787397302e-06,"blue"
"210","Rpl24",3.01402333506332e-33,-0.384869350871273,0.993,1,5.88066092904205e-29,"blue"
"211","Rpl26",6.47040075592057e-35,-0.37514985310576,0.998,1,1.26243989148766e-30,"blue"
"212","Rpl27",1.1868908379264e-25,-0.377299887842583,0.937,0.979,2.3157427138782e-21,"blue"
"213","Rpl27a",1.7119637272597e-43,-0.439056689418948,0.995,0.997,3.34021242825641e-39,"blue"
"214","Rpl28",1.13255415465133e-32,-0.376704550502246,0.995,0.999,2.20972641114022e-28,"blue"
"215","Rpl29",1.28215159358183e-21,-0.32376143539268,0.932,0.987,2.50160597423751e-17,"blue"
"216","Rpl3",5.2183422784648e-15,-0.240031654321679,0.998,0.996,1.01815076195127e-10,"blue"
"217","Rpl30",1.53409549170947e-49,-0.480579643215732,0.995,1,2.99317371387435e-45,"blue"
"218","Rpl32",9.26023586473818e-34,-0.358583142947823,1,1,1.80676461956907e-29,"blue"
"219","Rpl34",1.5799318792499e-41,-0.449673280837376,1,0.999,3.08260508960447e-37,"blue"
"220","Rpl35",5.5694136530382e-57,-0.582893428740989,0.974,0.999,1.08664829784428e-52,"blue"
"221","Rpl35a",8.57345669462719e-67,-0.54304675836922,1,1,1.67276713568871e-62,"blue"
"222","Rpl36",2.42389703346225e-42,-0.435675796649765,0.993,1,4.7292655019882e-38,"blue"
"223","Rpl36a",2.3520945358213e-44,-0.545183174032972,0.914,0.969,4.58917164884094e-40,"blue"
"224","Rpl36al",1.99590229379893e-15,-0.321082938898839,0.843,0.908,3.89420496543109e-11,"blue"
"225","Rpl37",2.04111005221411e-72,-0.523825017996219,1,1,3.98240982287494e-68,"blue"
"226","Rpl37a",7.49132363609178e-48,-0.463275902136408,1,1,1.46163215463787e-43,"blue"
"227","Rpl38",1.1604106014468e-63,-0.446738375691378,1,1,2.26407712448285e-59,"blue"
"228","Rpl39",1.22875670540956e-42,-0.453500531127915,0.995,1,2.39742720792459e-38,"blue"
"229","Rpl41",9.98850142079011e-79,-0.519663427573179,1,1,1.94885651221036e-74,"blue"
"230","Rpl6",8.1839226875648e-12,-0.207997589770764,0.988,0.996,1.59676515557077e-07,"blue"
"231","Rpl7a",2.74880043296207e-10,-0.251034882794678,0.892,0.929,5.3631845247523e-06,"blue"
"232","Rpl8",2.52075595859758e-11,-0.217767514977003,0.997,0.999,4.91824695081974e-07,"blue"
"233","Rpl9",4.6164306708642e-72,-0.633563081978735,0.995,0.999,9.00711788192314e-68,"blue"
"234","Rplp1",8.20126716265419e-56,-0.392554515623554,1,1,1.60014923610546e-51,"blue"
"235","Rplp2",8.9979275431702e-41,-0.487471849939463,0.97,0.992,1.75558564294794e-36,"blue"
"236","Rprm",1.99992367682169e-06,0.306284323687305,0.223,0.132,0.039020510858468,"red"
"237","Rps10",3.28828484222037e-56,-0.57482620940291,0.997,1,6.41577255565617e-52,"blue"
"238","Rps11",2.01784507870516e-44,-0.466827990521881,0.998,1,3.93701753306164e-40,"blue"
"239","Rps12",2.10447532307841e-56,-0.52638347835408,1,0.999,4.10604180285829e-52,"blue"
"240","Rps13",3.33730388433259e-36,-0.409688496240513,0.984,0.993,6.51141360872132e-32,"blue"
"241","Rps14",1.60594121774814e-40,-0.432968778742247,0.995,1,3.1333519099484e-36,"blue"
"242","Rps15",2.83805313493622e-07,-0.139649700851962,0.998,0.999,0.00553732547157406,"blue"
"243","Rps15a",5.22850903633185e-45,-0.490192274142298,0.979,0.993,1.02013439807871e-40,"blue"
"244","Rps16",2.29629465064387e-44,-0.45497027838281,0.991,0.997,4.48030049287125e-40,"blue"
"245","Rps17",3.05825095717734e-15,-0.261892369200022,0.935,0.968,5.96695344254871e-11,"blue"
"246","Rps18",4.3372334152982e-26,-0.41094101973978,0.904,0.947,8.46237611658832e-22,"blue"
"247","Rps19",3.98356568058666e-35,-0.423194769361007,0.993,1,7.77233499939263e-31,"blue"
"248","Rps2",1.54144420998636e-37,-0.467204280826926,0.956,0.989,3.00751179810439e-33,"blue"
